epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13352.5,0.76729,0.66916,1.24017,0.94763,0.93865,0.97075,0.81489,0.67266,0.39248,1.29879,0.005842,0.005842,0.005842
44,13664.9,0.75969,0.66276,1.23398,0.94775,0.93794,0.97092,0.81552,0.67198,0.39164,1.29829,0.005743,0.005743,0.005743
45,13973,0.76099,0.66519,1.23585,0.94816,0.93827,0.97091,0.81584,0.67095,0.39104,1.29731,0.005644,0.005644,0.005644
46,14282.4,0.76222,0.66831,1.23577,0.94923,0.93788,0.97101,0.8166,0.66973,0.39018,1.296,0.005545,0.005545,0.005545
47,14590.4,0.75734,0.65651,1.2346,0.95056,0.93725,0.97114,0.81712,0.66881,0.3893,1.29493,0.005446,0.005446,0.005446
48,14899.3,0.74741,0.64863,1.22852,0.95055,0.93879,0.97129,0.81765,0.66794,0.38827,1.29395,0.005347,0.005347,0.005347
49,15207.4,0.75753,0.65409,1.23416,0.95007,0.93953,0.97145,0.81827,0.66692,0.38724,1.29269,0.005248,0.005248,0.005248
50,15515.9,0.75403,0.65761,1.23193,0.95039,0.93908,0.9717,0.8189,0.66576,0.38609,1.29137,0.005149,0.005149,0.005149
51,15824.7,0.75407,0.65174,1.23028,0.95143,0.9394,0.97183,0.81928,0.66485,0.38474,1.29034,0.00505,0.00505,0.00505
52,16136.8,0.75084,0.64714,1.22753,0.95261,0.93914,0.97187,0.81986,0.66362,0.38388,1.28893,0.004951,0.004951,0.004951
53,16449.6,0.74697,0.63924,1.226,0.95319,0.93939,0.97209,0.82025,0.66271,0.38317,1.2879,0.004852,0.004852,0.004852
54,16762.9,0.74594,0.63514,1.2245,0.95219,0.94015,0.9723,0.82092,0.66156,0.38194,1.28679,0.004753,0.004753,0.004753
55,17071.7,0.73944,0.63118,1.22241,0.95151,0.94053,0.97244,0.82151,0.66079,0.38098,1.28593,0.004654,0.004654,0.004654
56,17387.7,0.74048,0.63327,1.2208,0.95088,0.9414,0.97245,0.82154,0.65996,0.38016,1.28496,0.004555,0.004555,0.004555
57,17705.7,0.73634,0.63008,1.21944,0.95179,0.94136,0.97261,0.82212,0.65914,0.37921,1.28416,0.004456,0.004456,0.004456
58,18016.5,0.73329,0.62749,1.21666,0.95257,0.94115,0.97273,0.82276,0.65777,0.37792,1.28283,0.004357,0.004357,0.004357
59,18328.4,0.7296,0.62078,1.21472,0.95084,0.94245,0.97278,0.82293,0.65691,0.37707,1.28205,0.004258,0.004258,0.004258
60,18637.5,0.72997,0.61914,1.21533,0.95259,0.94226,0.97284,0.8233,0.65578,0.37595,1.28092,0.004159,0.004159,0.004159
61,18942.1,0.7286,0.61673,1.21287,0.95266,0.94265,0.973,0.82384,0.65438,0.37492,1.2796,0.00406,0.00406,0.00406
62,19248.8,0.72518,0.61216,1.21182,0.95272,0.94317,0.97315,0.82475,0.65293,0.37373,1.27808,0.003961,0.003961,0.003961
63,19553.6,0.71995,0.60675,1.20822,0.95189,0.94396,0.97323,0.82542,0.65152,0.37273,1.2768,0.003862,0.003862,0.003862
64,19858,0.7191,0.607,1.20722,0.95141,0.9442,0.97324,0.82618,0.65023,0.37158,1.27547,0.003763,0.003763,0.003763
65,20165,0.7227,0.6082,1.20653,0.95182,0.94436,0.97344,0.82645,0.64907,0.37044,1.27455,0.003664,0.003664,0.003664
66,20471.6,0.71942,0.60599,1.2066,0.95316,0.94429,0.97369,0.82714,0.64769,0.36953,1.27298,0.003565,0.003565,0.003565
67,20778.3,0.7123,0.59554,1.20302,0.95191,0.94595,0.97386,0.82769,0.64665,0.36843,1.27195,0.003466,0.003466,0.003466
68,21088.8,0.70852,0.59358,1.19969,0.95241,0.94584,0.97398,0.82794,0.64521,0.36751,1.27067,0.003367,0.003367,0.003367
69,21394,0.71306,0.5929,1.20072,0.95338,0.94542,0.97415,0.82875,0.64389,0.36637,1.26902,0.003268,0.003268,0.003268
70,21700.1,0.70819,0.59065,1.19887,0.95477,0.94517,0.97442,0.82953,0.64288,0.36573,1.26787,0.003169,0.003169,0.003169
71,22008.5,0.70425,0.58707,1.19785,0.9554,0.94531,0.97447,0.83012,0.64172,0.36444,1.26651,0.00307,0.00307,0.00307
72,22315.8,0.69953,0.57746,1.19437,0.95761,0.94234,0.97454,0.83073,0.64045,0.36311,1.26519,0.002971,0.002971,0.002971
73,22622.9,0.69977,0.57387,1.19327,0.95658,0.94389,0.97469,0.83102,0.63931,0.36204,1.26401,0.002872,0.002872,0.002872
74,22936,0.694,0.5768,1.19164,0.95826,0.94329,0.97483,0.83208,0.63814,0.36105,1.2629,0.002773,0.002773,0.002773
75,23252.5,0.6935,0.57317,1.1882,0.96115,0.94112,0.97482,0.83266,0.63682,0.3596,1.26162,0.002674,0.002674,0.002674
76,23565.7,0.69337,0.57063,1.18774,0.96212,0.94148,0.9752,0.83338,0.63544,0.3584,1.26026,0.002575,0.002575,0.002575
77,23874.3,0.68708,0.56038,1.1869,0.96263,0.94128,0.97542,0.83436,0.63396,0.35731,1.25882,0.002476,0.002476,0.002476
78,24180.4,0.68288,0.55778,1.18078,0.96188,0.94189,0.97554,0.83485,0.63229,0.35625,1.25727,0.002377,0.002377,0.002377
79,24487.3,0.68422,0.55853,1.18299,0.96087,0.94291,0.97566,0.83535,0.63069,0.35501,1.25564,0.002278,0.002278,0.002278
80,24792.2,0.67747,0.55197,1.17988,0.95956,0.94499,0.97584,0.83591,0.62927,0.35379,1.25412,0.002179,0.002179,0.002179
81,25101.4,0.67705,0.55176,1.17847,0.95882,0.94525,0.97587,0.83654,0.62802,0.35273,1.25266,0.00208,0.00208,0.00208
82,25409,0.67347,0.54324,1.17708,0.95944,0.9454,0.97609,0.83709,0.62662,0.35181,1.25109,0.001981,0.001981,0.001981
83,25716.6,0.66977,0.53952,1.17421,0.95767,0.94835,0.97628,0.83751,0.6252,0.35091,1.24964,0.001882,0.001882,0.001882
84,26029.2,0.66756,0.53963,1.17201,0.95893,0.94736,0.9764,0.83794,0.62392,0.35017,1.24839,0.001783,0.001783,0.001783
85,26336.3,0.66369,0.52949,1.17003,0.95858,0.94901,0.97654,0.83883,0.62263,0.34911,1.24717,0.001684,0.001684,0.001684
86,26644.8,0.66524,0.53489,1.16901,0.95991,0.94842,0.9766,0.8394,0.62124,0.34803,1.2458,0.001585,0.001585,0.001585
87,26952.3,0.65503,0.52391,1.16554,0.95983,0.94872,0.97676,0.84034,0.61979,0.3468,1.24426,0.001486,0.001486,0.001486
88,27259.3,0.65408,0.52186,1.16278,0.95881,0.95088,0.97687,0.84073,0.61876,0.34581,1.24302,0.001387,0.001387,0.001387
89,27564.7,0.65289,0.51579,1.1605,0.95988,0.95062,0.97699,0.84144,0.61757,0.34492,1.24162,0.001288,0.001288,0.001288
90,27867.1,0.64535,0.50846,1.15646,0.95892,0.95157,0.97706,0.8422,0.61642,0.34419,1.24043,0.001189,0.001189,0.001189
91,28169.8,0.56341,0.33946,1.14621,0.95829,0.95315,0.9772,0.84299,0.6148,0.34284,1.23869,0.00109,0.00109,0.00109
92,28476.7,0.54694,0.32802,1.13281,0.9584,0.95342,0.97729,0.84388,0.61282,0.34157,1.23682,0.000991,0.000991,0.000991
93,28781.7,0.54117,0.3188,1.12431,0.95896,0.95354,0.9774,0.84488,0.6106,0.34008,1.23473,0.000892,0.000892,0.000892
94,29085.1,0.53443,0.3149,1.12092,0.95969,0.95375,0.97747,0.84573,0.60829,0.33861,1.23257,0.000793,0.000793,0.000793
95,29386.1,0.52788,0.30917,1.11492,0.95974,0.95392,0.97763,0.84684,0.60596,0.33712,1.23027,0.000694,0.000694,0.000694
96,29685,0.52474,0.3051,1.11136,0.9599,0.95448,0.97778,0.84781,0.60373,0.33555,1.22812,0.000595,0.000595,0.000595
97,29986.5,0.51731,0.30057,1.10723,0.9605,0.95453,0.97784,0.84882,0.60143,0.33387,1.22589,0.000496,0.000496,0.000496
98,30288.6,0.50777,0.29273,1.09878,0.96064,0.95472,0.97808,0.84996,0.59931,0.33245,1.22376,0.000397,0.000397,0.000397
99,30589.9,0.50663,0.29029,1.0987,0.9602,0.95587,0.97812,0.85084,0.59718,0.33127,1.22179,0.000298,0.000298,0.000298
100,30890.6,0.5036,0.28777,1.09522,0.96067,0.95641,0.97835,0.85177,0.59497,0.32993,1.21971,0.000199,0.000199,0.000199
