Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.33,-1.54,-3.69,-0.11,-0.01,-0.03
9.38,-1.58,-3.69,-0.11,0.01,-0.02
9.36,-1.59,-3.73,-0.12,-0.03,-0.02
9.28,-1.61,-3.77,-0.13,-0.02,-0.02
9.37,-1.58,-3.81,-0.13,-0.02,-0.02
9.38,-1.52,-3.77,-0.11,-0.02,-0.02
9.31,-1.6,-3.73,-0.1,-0.02,-0.02
9.34,-1.58,-3.8,-0.1,-0.01,-0.02
9.31,-1.56,-3.71,-0.1,-0.03,-0.02
9.35,-1.57,-3.76,-0.1,-0.0,-0.02
9.33,-1.6,-3.84,-0.11,-0.02,-0.02
9.33,-1.52,-3.76,-0.1,0.0,-0.02
9.31,-1.58,-3.76,-0.1,-0.01,-0.02
9.33,-1.59,-3.89,-0.1,-0.01,-0.03
9.24,-1.63,-3.84,-0.1,-0.03,-0.02
9.29,-1.58,-3.89,-0.08,-0.02,-0.04
9.43,-1.61,-3.9,-0.05,-0.02,-0.03
9.28,-1.66,-3.74,-0.05,0.01,-0.03
9.27,-1.65,-3.73,-0.08,0.01,-0.01
9.38,-1.58,-3.67,-0.09,0.03,-0.02
9.34,-1.62,-3.72,-0.1,0.01,-0.03
9.33,-1.63,-3.72,-0.1,0.01,-0.03
9.31,-1.62,-3.71,-0.11,0.03,-0.04
9.33,-1.55,-3.77,-0.11,0.03,-0.04
9.39,-1.6,-3.78,-0.09,0.05,-0.03
9.28,-1.65,-3.7,-0.09,0.08,-0.04
9.11,-1.81,-3.7,-0.11,0.08,-0.07
9.36,-1.86,-4.0,-0.11,0.09,-0.1
9.09,-2.07,-4.66,-0.13,-0.07,-0.05
8.75,-2.07,-3.87,-0.07,0.12,0.01
8.82,-2.26,-4.15,-0.01,0.41,0.02
9.41,-1.93,-3.67,0.07,0.43,0.03
9.11,-2.1,-3.75,0.12,0.22,-0.06
9.16,-2.51,-3.81,-0.04,0.26,-0.12
8.6,-2.14,-3.53,-0.27,0.4,-0.14
10.84,-2.09,-3.52,-0.44,0.58,0.47
10.58,-0.48,-3.34,-0.09,0.05,0.75
7.21,-3.68,0.31,-0.13,0.56,0.67
11.32,-2.16,-3.48,-0.49,0.81,-0.1
8.48,-1.58,-2.9,-0.75,0.32,-0.12
9.92,-1.51,-3.81,-0.68,0.92,-0.41
9.18,-1.78,-3.53,-0.29,0.22,-0.46
7.84,-0.36,-2.01,0.11,0.49,-0.41
10.24,-1.94,-2.71,0.27,0.54,-0.03
11.09,-1.22,-4.71,0.74,0.45,0.05
13.3,-1.88,-1.93,0.94,0.21,-0.45
10.13,-0.85,-0.36,0.54,-0.08,0.15
5.47,-0.4,0.44,0.51,-0.44,-0.11
7.05,-2.47,-1.16,0.76,0.3,-0.27
10.7,-1.25,-2.1,0.61,0.39,0.02
9.63,-2.74,-1.95,0.63,-0.1,0.08
8.15,-2.51,-1.79,0.86,0.08,0.21
7.15,-3.71,0.68,0.9,0.39,0.25
6.43,-4.45,0.77,0.62,0.09,0.48
3.95,2.61,2.28,0.76,0.07,-0.05
9.84,-3.42,8.39,1.27,1.56,-0.23
14.64,1.53,3.89,1.04,1.65,-0.3
9.3,-0.3,3.51,1.56,0.68,-1.42
11.66,-0.93,1.07,1.76,0.71,-1.83
11.96,-0.19,0.23,3.32,0.36,-2.19
13.73,0.67,2.85,3.83,1.0,-2.38
11.76,4.75,3.93,2.71,1.09,-1.04
10.21,0.72,9.73,0.89,1.33,-1.31
7.26,14.53,5.15,2.38,0.67,-1.08
7.37,2.91,4.39,3.15,-0.05,-1.5
13.52,5.71,3.06,4.37,-2.94,-0.73
6.89,1.19,-6.3,0.04,-3.44,-4.07
