Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.32,-1.55,-0.97,-0.11,-0.0,-0.01
10.29,-1.61,-0.84,-0.11,0.01,-0.0
10.26,-1.66,-0.82,-0.12,0.01,-0.02
10.33,-1.58,-0.78,-0.12,0.03,-0.03
10.32,-1.6,-0.77,-0.11,0.06,-0.03
10.3,-1.61,-0.74,-0.11,0.08,-0.04
10.35,-1.56,-0.7,-0.11,0.07,-0.04
10.34,-1.53,-0.65,-0.1,0.07,-0.04
10.39,-1.58,-0.65,-0.09,0.05,-0.03
10.37,-1.56,-0.72,-0.09,0.05,-0.04
10.39,-1.48,-0.59,-0.1,0.02,-0.02
10.3,-1.54,-0.6,-0.1,0.04,-0.02
10.35,-1.49,-0.53,-0.09,0.02,-0.03
10.38,-1.47,-0.55,-0.1,0.02,-0.03
10.38,-1.51,-0.53,-0.09,0.02,-0.02
10.33,-1.48,-0.5,-0.1,0.01,-0.02
10.37,-1.52,-0.49,-0.11,0.0,-0.02
10.34,-1.55,-0.49,-0.12,-0.02,-0.02
10.32,-1.5,-0.55,-0.13,-0.02,-0.02
10.36,-1.53,-0.53,-0.14,-0.01,-0.02
10.37,-1.53,-0.53,-0.15,-0.02,-0.0
10.3,-1.58,-0.57,-0.16,-0.02,-0.01
10.37,-1.53,-0.59,-0.17,-0.03,-0.01
10.32,-1.47,-0.68,-0.17,-0.0,-0.01
10.35,-1.47,-0.7,-0.13,0.01,-0.01
10.32,-1.47,-0.57,-0.11,0.01,-0.02
10.35,-1.54,-0.61,-0.11,0.0,-0.03
10.32,-1.47,-0.58,-0.11,0.01,-0.03
10.24,-1.54,-0.55,-0.16,-0.0,-0.04
9.95,-1.8,-0.43,-0.34,0.1,-0.07
10.14,-2.4,-1.0,-0.55,0.1,-0.11
10.43,-1.77,-1.48,-0.65,0.16,-0.08
10.14,-1.69,-1.45,-0.54,0.11,0.03
10.1,-1.61,-1.15,-0.41,0.09,0.01
9.89,-1.67,-0.9,-0.39,0.19,0.05
10.13,-1.73,-0.81,-0.38,0.21,0.0
10.25,-1.37,-0.54,-0.45,0.31,0.08
