Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.59,-0.05,0.44,-0.1,0.0,-0.04
10.55,0.17,0.58,-0.03,-0.02,-0.02
10.31,0.01,0.5,0.02,-0.06,-0.04
10.43,0.03,0.51,0.08,-0.02,-0.08
10.54,-0.11,0.49,0.13,-0.04,-0.11
10.49,-0.11,0.45,0.16,-0.02,-0.12
10.49,-0.18,0.4,0.19,0.02,-0.12
10.62,-0.31,0.55,0.14,0.03,-0.09
10.6,-0.4,0.47,0.03,0.06,-0.06
10.58,-0.29,0.49,-0.05,0.04,-0.04
10.5,-0.19,0.38,-0.09,0.05,-0.04
10.56,-0.05,0.5,-0.1,0.03,-0.03
10.65,0.08,0.64,-0.08,-0.01,-0.03
10.61,-0.08,0.67,-0.09,-0.03,-0.01
10.45,-0.06,0.55,-0.1,-0.04,-0.01
10.54,0.01,0.52,-0.09,-0.02,-0.02
10.56,-0.2,0.55,-0.13,-0.04,-0.01
10.59,0.01,0.52,-0.16,-0.04,0.0
10.55,-0.03,0.47,-0.15,-0.05,0.0
10.47,-0.03,0.55,-0.14,-0.06,0.01
10.5,-0.08,0.62,-0.14,-0.02,-0.01
10.41,-0.09,0.51,-0.16,-0.05,-0.02
10.52,0.25,0.34,-0.13,-0.02,-0.03
10.63,0.06,0.48,-0.08,-0.03,-0.04
10.54,-0.18,0.36,-0.1,-0.05,-0.03
10.6,-0.06,0.42,-0.14,-0.02,-0.02
10.54,-0.1,0.31,-0.15,-0.06,-0.02
10.54,-0.27,0.25,-0.17,-0.07,-0.0
10.59,-0.28,0.22,-0.24,-0.1,0.02
10.51,0.01,0.17,-0.26,-0.11,0.03
10.46,0.05,0.13,-0.23,-0.12,0.01
10.51,-0.04,-0.01,-0.19,-0.12,-0.02
10.57,-0.07,-0.08,-0.22,-0.14,-0.01
10.48,-0.08,-0.14,-0.26,-0.13,0.02
10.38,0.03,-0.05,-0.26,-0.08,0.04
10.51,-0.09,-0.08,-0.24,-0.02,0.04
10.51,-0.51,-0.08,-0.34,-0.02,0.06
10.38,-0.35,-0.21,-0.48,-0.03,0.05
10.28,-0.17,-0.21,-0.54,-0.02,0.05
10.38,-0.31,-0.23,-0.61,0.05,0.04
10.35,-0.45,-0.28,-0.71,0.07,0.06
10.43,-0.39,-0.56,-0.79,0.13,0.06
10.31,-0.07,-0.78,-0.74,0.14,0.05
10.47,-0.18,-0.84,-0.64,0.17,0.06
10.14,-0.12,-0.69,-0.61,0.21,0.08
10.26,-0.37,-0.73,-0.56,0.36,0.09
10.43,-0.28,-0.8,-0.51,0.29,0.12
10.25,-0.47,-0.88,-0.51,0.19,0.18
10.06,-0.43,-1.2,-0.46,0.14,0.22
10.13,-0.74,-1.28,-0.29,0.1,0.22
