Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.88,-3.32,-1.58,-0.25,-0.01,0.0
9.82,-3.27,-1.61,-0.26,0.02,0.02
9.99,-3.02,-1.88,-0.17,0.06,0.04
9.74,-3.26,-1.86,-0.12,0.05,0.08
9.64,-3.15,-1.91,-0.12,0.07,0.07
9.73,-3.07,-1.91,-0.13,0.1,0.05
9.63,-2.82,-1.83,-0.12,0.05,0.09
9.68,-3.07,-1.89,-0.1,-0.04,0.01
9.72,-3.21,-1.77,-0.13,-0.11,0.01
9.48,-3.2,-1.91,-0.16,-0.17,-0.03
9.84,-3.07,-2.26,-0.14,-0.13,-0.05
9.55,-3.32,-1.9,-0.2,-0.14,0.04
9.42,-2.99,-2.09,-0.31,-0.14,-0.05
9.83,-2.88,-2.33,-0.33,0.03,0.01
9.75,-2.96,-2.27,-0.3,0.07,0.08
9.56,-3.11,-2.17,-0.28,0.09,0.09
9.63,-2.97,-2.15,-0.25,0.13,0.07
9.66,-2.98,-2.05,-0.19,0.19,0.05
9.62,-2.98,-2.14,-0.13,0.19,0.0
9.56,-3.02,-2.03,-0.09,0.14,-0.04
9.71,-3.23,-1.91,-0.05,0.12,-0.05
9.67,-3.34,-1.81,-0.07,0.1,-0.06
9.64,-3.33,-1.74,-0.12,0.07,-0.08
9.7,-3.16,-1.78,-0.16,0.05,-0.08
9.78,-3.03,-1.82,-0.15,0.04,-0.1
9.73,-3.05,-1.91,-0.13,0.06,-0.06
9.78,-2.89,-1.92,-0.1,0.09,-0.07
9.85,-2.97,-1.76,-0.08,0.11,-0.03
9.67,-3.16,-1.57,-0.08,0.12,-0.06
9.66,-3.33,-1.5,-0.19,0.11,-0.05
9.68,-3.35,-1.58,-0.31,0.16,-0.04
9.62,-3.37,-1.52,-0.47,0.2,0.0
9.68,-2.74,-1.45,-0.57,0.27,0.04
9.71,-2.78,-1.57,-0.58,0.3,-0.0
10.16,-2.94,-1.94,-0.57,0.2,0.06
9.81,-3.03,-2.08,-0.58,0.1,0.17
9.49,-3.41,-1.81,-0.66,0.21,0.25
9.41,-3.57,-1.61,-0.79,0.3,0.29
9.46,-3.76,-1.53,-0.87,0.38,0.31
9.22,-3.98,-1.66,-0.88,0.39,0.25
9.38,-3.96,-1.91,-0.81,0.45,0.13
10.01,-4.13,-2.06,-0.67,0.55,0.09
10.41,-4.19,-2.25,-0.53,0.5,0.07
9.72,-3.8,-2.45,-0.44,0.42,0.2
10.97,-3.73,-1.98,-0.48,0.45,0.48
8.83,-4.69,0.34,-0.65,0.84,0.2
10.94,-0.96,0.87,-0.28,0.03,-0.34
9.92,-2.9,0.2,-0.56,0.09,0.21
11.05,-4.02,0.24,-0.56,-0.03,-0.34
8.42,-2.19,-0.42,-0.64,-0.12,-0.44
9.18,-2.2,-0.74,-0.49,0.21,-0.37
9.92,-2.22,-1.5,-0.31,-0.11,-0.39
8.74,-1.96,-1.83,-0.16,-0.22,-0.35
9.29,-2.06,-2.03,-0.1,-0.01,-0.21
11.13,-3.75,-1.97,-0.44,0.19,0.16
11.83,-2.12,-3.05,-0.58,-0.04,0.05
10.31,-2.08,-4.14,-0.45,0.07,-0.23
12.49,-3.92,1.0,-0.49,1.15,-0.83
8.81,-1.06,4.76,-0.91,0.71,-0.35
11.15,-0.88,-0.17,-0.68,0.55,0.25
11.05,0.01,-0.52,0.15,-0.27,0.07
7.74,-2.44,0.8,0.21,0.01,0.55
8.53,-2.92,0.32,-0.01,0.22,0.64
9.3,-3.49,-1.09,-0.13,-0.06,0.51
9.13,-3.42,-1.97,0.03,-0.03,0.02
10.5,-2.14,-2.41,0.56,0.1,-0.22
12.12,-3.13,-3.1,0.72,-0.52,0.37
10.46,-5.16,4.7,0.47,0.09,0.16
15.21,-3.0,5.82,-0.18,1.45,1.31
8.58,-2.56,1.93,0.06,-0.99,-0.75
6.5,-4.23,0.74,0.0,0.59,-0.76
6.76,0.81,0.27,-0.16,0.09,-0.86
5.28,0.46,0.3,0.6,0.27,-0.73
4.93,-0.44,-0.13,0.94,0.23,-0.59
5.96,-1.47,0.56,1.3,0.13,-0.42
8.91,-2.34,0.19,1.3,-0.07,-0.1
15.42,-3.62,-0.96,0.64,0.0,0.18
6.78,-2.65,0.74,0.24,-0.57,-0.55
5.97,-2.94,1.62,0.13,1.59,0.26
10.72,16.02,8.01,2.92,1.88,-0.38
4.93,-5.88,6.57,2.19,-1.36,-0.43
8.12,-2.83,0.78,2.69,3.7,-0.27
7.3,0.09,3.96,4.37,2.45,-0.46
13.45,-2.81,11.73,3.84,1.11,-0.91
11.13,5.65,12.4,2.73,0.32,-0.68
22.07,8.92,14.24,2.19,-0.39,0.12
4.64,8.11,7.69,1.03,-1.69,-0.39
5.54,9.23,10.29,0.59,-0.66,-2.62
6.06,12.81,3.12,1.37,0.45,-4.37
5.75,8.48,3.29,2.35,-0.2,-3.07
3.42,8.47,-2.84,3.41,-1.34,-2.81
2.38,9.74,-0.5,2.09,-2.34,-1.37
-2.35,9.46,-3.3,1.33,-0.92,0.07
2.02,7.43,-6.28,1.0,-1.05,-0.86
-0.3,7.06,-5.12,1.18,-1.36,-0.83
