Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
4.96,8.88,1.95,-0.36,0.11,-0.03
4.91,8.88,1.55,-0.2,0.07,-0.06
4.71,8.78,1.06,0.06,-0.01,-0.03
5.03,8.73,0.89,0.11,-0.09,-0.11
4.73,8.64,0.47,0.16,-0.15,-0.18
4.47,8.94,0.19,0.14,-0.1,-0.19
4.09,9.03,0.04,0.18,-0.1,-0.16
3.96,9.16,-0.18,0.18,-0.07,-0.11
3.91,9.02,-0.23,0.17,-0.08,-0.08
3.95,8.95,-0.28,0.1,-0.08,-0.07
3.98,8.88,-0.47,-0.03,-0.05,-0.06
4.05,8.9,-0.61,-0.13,-0.01,-0.04
4.04,8.84,-0.37,-0.18,0.01,-0.06
4.06,8.99,-0.33,-0.3,0.06,-0.06
4.0,9.15,-0.11,-0.24,0.06,0.01
4.2,8.94,0.23,-0.11,-0.01,0.02
4.54,8.69,0.24,-0.23,0.06,-0.01
4.21,8.77,0.08,-0.15,-0.12,-0.08
3.87,9.2,-0.4,-0.43,-0.09,-0.03
3.41,8.65,-0.16,-0.29,-0.02,-0.11
3.97,9.61,0.12,-0.08,0.0,-0.06
