Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.37,-5.8,-0.81,0.24,-0.24,-0.1
8.72,-5.65,-0.81,0.13,-0.12,0.02
8.71,-5.84,-0.69,0.06,-0.0,0.07
8.65,-5.9,-0.58,-0.09,0.06,0.12
8.6,-5.86,-0.84,-0.29,0.14,0.15
8.81,-5.68,-1.07,-0.37,0.19,0.16
8.84,-5.53,-1.16,-0.43,0.17,0.17
8.83,-5.53,-1.19,-0.41,0.16,0.16
8.8,-5.49,-1.22,-0.39,0.13,0.13
8.74,-5.48,-1.1,-0.38,0.15,0.12
8.58,-5.54,-1.08,-0.36,0.16,0.05
8.85,-5.41,-0.86,-0.38,0.16,0.02
8.96,-5.51,-0.68,-0.41,0.2,0.03
9.38,-5.17,-0.99,-0.4,0.23,0.03
9.3,-5.23,-0.81,-0.35,0.16,0.14
8.79,-5.36,-0.85,-0.29,0.18,0.14
8.93,-5.28,-0.92,-0.25,0.09,0.11
8.84,-5.17,-1.0,-0.24,0.06,0.13
8.92,-5.25,-1.08,-0.21,0.14,0.11
8.87,-5.25,-0.91,-0.23,0.17,0.12
8.92,-5.33,-0.78,-0.22,0.15,0.12
8.82,-5.37,-0.68,-0.21,0.13,0.12
8.77,-5.42,-0.7,-0.21,0.16,0.13
8.81,-5.4,-0.72,-0.2,0.14,0.14
8.76,-5.52,-0.66,-0.2,0.12,0.13
8.67,-5.6,-0.58,-0.22,0.11,0.13
8.84,-5.6,-0.56,-0.25,0.13,0.14
8.82,-5.47,-0.61,-0.27,0.11,0.15
8.88,-5.43,-0.73,-0.25,0.11,0.13
8.94,-5.35,-0.82,-0.21,0.1,0.09
9.0,-5.59,-0.76,-0.21,0.1,0.04
9.0,-5.43,-0.75,-0.25,0.05,-0.01
9.11,-5.18,-0.83,-0.21,0.04,-0.1
9.25,-5.05,-0.77,-0.17,-0.04,-0.13
8.92,-5.2,-0.77,-0.13,-0.07,-0.12
8.64,-5.64,-0.81,-0.17,-0.02,-0.11
9.02,-5.11,-0.71,-0.22,0.03,-0.11
9.14,-5.34,-0.93,-0.19,0.1,-0.17
