Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
6.68,-5.73,-5.06,-0.25,0.01,-0.1
7.04,-5.09,-5.07,-0.23,0.03,-0.05
6.99,-5.02,-4.97,-0.18,-0.03,-0.01
6.83,-5.6,-4.92,-0.13,-0.04,-0.0
6.58,-5.43,-5.08,-0.11,-0.01,0.01
6.76,-5.69,-4.85,-0.12,0.02,0.03
6.69,-5.43,-4.96,-0.12,-0.01,0.01
6.7,-5.46,-4.95,-0.1,-0.03,0.0
6.6,-5.52,-5.13,-0.03,0.01,-0.04
6.67,-5.68,-5.0,0.02,0.07,-0.01
6.85,-5.37,-4.96,0.07,0.07,0.03
7.04,-5.35,-4.86,0.09,0.05,0.07
6.77,-5.83,-4.44,-0.08,-0.08,0.07
