Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
-4.86,2.94,33.03,-0.37,-2.47,-0.23
-1.09,1.17,21.96,2.01,2.98,0.03
2.44,1.89,11.39,-1.06,-0.52,0.07
0.0,-2.5,12.68,0.38,-1.25,0.05
2.49,-3.54,8.8,0.48,-0.1,0.01
1.28,-1.63,9.54,-0.85,-0.57,-0.05
2.32,-0.15,9.09,-0.95,-0.11,0.07
3.32,0.29,11.27,-0.74,-0.48,0.11
3.04,-0.81,10.86,-0.32,-0.25,-0.13
2.79,-1.96,11.98,-0.14,-0.07,0.08
3.39,-1.99,11.36,-0.26,-0.27,0.2
3.38,-1.69,10.46,-0.48,-0.2,0.15
2.58,-1.57,9.7,-0.32,-0.09,0.06
3.74,-1.61,9.93,-0.19,0.07,0.09
3.66,-1.83,9.93,-0.0,-0.26,-0.05
2.49,-2.11,9.98,-0.09,-0.03,-0.03
3.84,-1.38,9.96,0.03,0.07,0.07
3.6,-1.31,10.05,0.22,-0.22,0.1
3.11,-2.5,9.73,0.08,0.11,0.05
4.17,-1.82,11.12,0.04,-0.16,0.06
2.81,-2.04,10.92,-0.18,-0.17,0.05
3.6,-1.36,10.99,0.0,-0.12,0.01
3.24,-1.66,11.39,0.04,-0.14,0.05
3.9,-1.57,11.86,-0.0,-0.05,0.02
3.76,-0.87,10.76,-0.06,-0.35,0.04
3.1,-1.63,11.49,0.02,0.01,-0.04
3.15,-1.98,11.26,-0.05,0.09,-0.09
3.3,-1.7,11.65,-0.2,0.33,-0.07
3.17,-1.44,11.55,-0.39,0.07,-0.04
2.36,-0.88,11.49,-0.25,0.31,-0.01
2.15,-1.39,11.6,-0.2,0.47,0.02
2.33,-1.59,11.18,-0.21,0.5,-0.01
1.84,-1.21,11.32,-0.09,0.47,0.02
1.4,-0.8,10.62,-0.02,0.48,0.04
0.46,-1.4,9.76,-0.05,0.78,0.01
1.36,-1.89,10.86,-0.12,0.69,0.08
0.22,-2.21,11.04,-0.12,0.57,-0.13
-0.1,-1.92,11.79,-0.3,0.57,-0.26
0.11,-2.88,10.3,-0.15,0.62,-0.44
1.14,-2.01,9.22,-0.65,0.4,-0.28
1.91,-0.4,9.55,-0.49,0.1,-0.29
1.08,-0.75,10.33,-0.13,0.01,-0.2
2.02,-1.81,10.33,0.05,-0.01,-0.32
1.66,-1.43,10.28,0.13,-0.36,-0.42
2.57,-0.69,9.4,0.62,-0.41,-0.61
3.18,-0.03,11.28,0.71,-0.31,-0.42
2.38,-1.58,11.66,0.85,-0.68,-0.4
2.27,-1.57,10.38,0.37,-0.59,-0.47
1.99,0.63,10.61,0.46,-0.64,-0.45
2.4,1.17,9.26,0.77,-0.67,-0.43
2.02,1.03,12.3,0.95,-0.53,-0.32
4.53,-0.84,12.67,-0.16,0.37,0.27
3.0,0.85,8.66,-0.87,-0.26,0.01
1.3,1.38,10.41,-0.79,-0.03,0.04
2.21,0.53,10.55,-0.55,0.2,0.24
5.03,0.21,11.34,-0.84,0.2,0.46
2.72,-0.04,11.51,-0.58,-0.27,0.15
1.91,-0.46,10.17,0.21,-0.19,-0.16
2.64,0.82,10.74,0.14,0.26,0.01
3.2,-0.08,11.34,0.27,0.06,0.13
2.74,0.61,10.58,0.3,-0.01,0.08
2.66,0.38,10.74,0.11,-0.03,0.13
4.04,0.78,10.67,0.05,0.04,0.23
4.35,0.23,10.43,0.17,-0.23,0.25
3.65,0.18,10.56,0.12,-0.36,0.25
3.31,0.43,10.25,0.04,-0.33,0.22
3.0,-0.02,10.71,-0.06,-0.27,0.18
3.55,0.13,10.91,-0.27,-0.44,0.14
2.15,0.66,10.5,-0.31,-0.47,0.11
2.51,1.19,10.77,-0.2,-0.11,-0.07
2.71,1.15,10.5,-0.25,-0.33,-0.02
