Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.99,-0.34,4.22,-0.12,-0.01,-0.01
10.01,-0.32,4.17,-0.13,-0.0,-0.02
10.01,-0.28,4.15,-0.13,-0.0,-0.01
10.01,-0.35,4.2,-0.13,0.01,-0.01
9.99,-0.34,4.15,-0.13,-0.0,-0.01
9.97,-0.37,4.24,-0.13,0.01,-0.0
9.95,-0.36,4.31,-0.13,0.03,-0.02
10.0,-0.32,4.37,-0.15,0.02,-0.02
10.02,-0.35,4.27,-0.17,0.01,-0.01
9.97,-0.33,4.3,-0.16,0.02,-0.02
9.99,-0.38,4.27,-0.16,0.03,-0.02
9.96,-0.33,4.33,-0.16,0.04,-0.02
9.93,-0.35,4.35,-0.16,0.04,-0.02
10.0,-0.34,4.37,-0.17,0.03,-0.02
9.96,-0.33,4.39,-0.15,0.01,-0.02
9.93,-0.39,4.36,-0.16,0.0,-0.02
9.95,-0.37,4.4,-0.16,0.0,-0.02
9.94,-0.35,4.39,-0.15,-0.0,-0.02
9.97,-0.38,4.33,-0.14,-0.01,-0.02
9.96,-0.39,4.42,-0.14,0.02,-0.02
9.97,-0.36,4.35,-0.15,-0.02,-0.02
9.96,-0.37,4.35,-0.15,-0.02,-0.02
9.99,-0.38,4.33,-0.15,-0.03,-0.02
9.96,-0.34,4.36,-0.13,-0.0,-0.01
9.95,-0.39,4.32,-0.14,-0.01,-0.01
9.93,-0.37,4.32,-0.13,-0.0,-0.02
10.02,-0.34,4.33,-0.13,0.01,-0.02
9.93,-0.38,4.36,-0.14,0.01,-0.01
9.99,-0.33,4.35,-0.14,0.0,-0.01
9.92,-0.4,4.36,-0.15,0.0,-0.02
10.08,-0.38,4.59,-0.17,-0.02,-0.02
10.32,-0.94,4.16,-0.27,-0.05,-0.05
10.35,-0.62,3.83,-0.29,-0.01,-0.14
9.78,-0.77,3.18,-0.43,-0.15,-0.03
9.66,-0.7,3.25,-0.49,0.02,-0.13
9.46,-0.6,3.69,-0.6,0.17,-0.26
10.01,-0.79,3.14,-0.7,-0.1,-0.21
9.14,-0.64,2.81,-0.85,0.06,-0.27
9.89,-1.02,2.81,-0.94,-0.07,-0.22
8.1,-0.56,2.45,-0.97,0.19,-0.26
8.68,-0.51,2.85,-0.88,0.4,-0.26
8.05,-0.91,3.47,-0.9,0.16,-0.11
8.32,-0.47,3.09,-0.92,0.24,-0.11
7.78,-0.84,3.53,-1.2,0.38,-0.14
6.91,0.54,4.05,-0.97,1.28,-1.05
7.83,0.23,6.73,-1.76,1.02,-0.78
6.17,0.49,5.5,-1.72,-1.18,-0.73
4.71,4.03,5.72,-2.31,0.85,-0.77
7.04,3.56,7.99,-2.53,1.04,-0.32
8.78,0.78,8.43,-3.1,1.05,0.29
11.87,6.21,29.36,1.65,4.37,0.73
4.14,-9.14,1.29,-1.1,0.26,0.22
7.6,-0.15,4.65,-4.2,4.37,-1.7
14.76,3.62,4.97,-0.95,1.04,-0.16
2.19,-5.49,5.65,-3.07,1.04,-0.15
7.86,-1.2,8.75,-3.23,0.21,-0.19
5.94,-10.58,8.48,-2.43,0.13,-0.47
3.12,-5.97,5.95,-3.39,-1.28,0.7
9.02,-6.65,11.73,-3.97,-1.45,0.16
-4.43,-28.86,-0.87,-0.28,-4.37,3.64
0.98,1.8,-2.27,-1.05,0.26,3.16
1.11,-20.5,-3.63,-0.94,-0.68,1.66
4.13,-5.02,2.82,-0.62,-2.35,2.29
-2.07,-12.24,-1.35,-0.07,-0.48,1.18
-7.0,-10.64,5.05,-0.08,-0.81,1.85
-3.06,-10.38,-1.64,1.3,-1.86,-0.98
-0.53,-6.51,3.42,-1.45,0.87,1.27
-3.49,-12.5,-2.88,-0.41,-1.36,0.38
-2.76,-9.48,3.0,0.54,-0.05,-0.26
-0.74,-8.52,2.04,0.25,-0.53,-0.06
-1.64,-10.95,2.2,0.41,-0.2,-0.08
-0.88,-9.44,3.34,0.39,0.02,-0.3
0.26,-9.65,4.12,0.14,0.07,-0.27
2.26,-9.77,3.65,-0.17,-0.15,0.05
-0.62,-9.99,3.1,0.07,-0.85,0.26
-0.53,-8.83,3.56,-0.07,-0.23,0.01
-0.52,-10.06,3.59,-0.15,0.15,0.0
-0.26,-9.57,3.16,-0.09,0.37,0.14
-0.74,-9.61,3.26,-0.07,0.02,0.13
-0.91,-9.94,3.04,-0.14,0.01,0.01
-0.45,-9.52,2.94,-0.06,-0.01,-0.06
-0.49,-9.59,3.2,0.01,-0.06,-0.01
-0.51,-9.64,3.5,0.01,-0.03,0.0
-0.43,-9.54,3.62,-0.01,0.04,0.02
-0.52,-9.62,3.61,-0.04,-0.0,0.04
