Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.11,-0.26,3.95,-0.1,0.03,-0.01
10.07,-0.29,3.96,-0.1,0.02,-0.01
10.12,-0.34,4.05,-0.11,0.02,-0.01
10.07,-0.32,4.01,-0.11,0.02,-0.01
10.07,-0.31,4.01,-0.11,0.02,-0.0
10.11,-0.27,4.06,-0.12,0.01,-0.01
9.99,-0.24,4.14,-0.12,0.02,-0.01
10.01,-0.28,4.11,-0.12,0.04,-0.01
9.91,-0.26,4.31,-0.13,0.02,-0.0
10.1,-0.3,4.13,-0.13,0.01,-0.0
10.06,-0.31,4.18,-0.13,0.0,-0.02
10.07,-0.29,4.05,-0.15,-0.01,-0.03
10.01,-0.19,4.24,-0.15,-0.01,-0.01
10.12,-0.28,4.09,-0.13,-0.01,-0.01
10.03,-0.28,4.07,-0.11,-0.0,-0.01
10.0,-0.29,4.16,-0.13,0.0,-0.01
10.06,-0.27,4.1,-0.13,-0.0,-0.01
10.03,-0.25,4.13,-0.12,-0.01,-0.01
10.03,-0.3,4.01,-0.11,0.01,-0.01
10.05,-0.31,4.04,-0.11,0.01,-0.02
10.15,-0.3,4.09,-0.12,0.01,-0.02
10.03,-0.27,4.03,-0.13,0.01,-0.02
10.05,-0.26,4.02,-0.13,0.01,-0.02
10.05,-0.28,4.14,-0.13,-0.01,-0.01
10.01,-0.3,4.02,-0.12,-0.01,-0.02
10.13,-0.34,4.0,-0.13,-0.01,-0.04
9.85,-0.01,3.68,0.03,0.08,-0.04
10.09,0.68,3.27,0.45,0.16,0.05
10.42,0.56,2.74,0.72,0.26,0.4
10.57,-0.26,3.24,0.68,-0.07,0.22
9.89,-0.51,3.29,0.52,-0.21,-0.02
11.73,-0.22,3.1,0.61,-0.16,0.08
8.49,0.63,3.28,0.78,-0.06,0.16
8.38,-0.29,3.0,0.81,-0.02,0.01
8.19,0.05,2.45,0.91,0.03,0.06
8.66,0.7,2.43,0.94,0.15,0.15
9.93,0.4,2.54,1.03,0.07,0.1
9.17,-0.29,3.01,1.12,0.16,0.0
9.31,0.19,2.96,1.1,0.16,0.0
8.55,-0.33,3.62,0.89,0.6,-0.17
6.91,2.77,3.34,0.94,1.69,0.28
10.72,-0.25,8.27,2.2,-2.0,-0.17
2.46,-1.98,6.84,1.62,1.24,-0.95
8.25,2.71,7.52,1.63,1.85,-1.03
2.98,7.92,13.83,1.89,2.37,-1.59
