Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.82,-0.71,4.88,-0.14,0.09,-0.03
9.74,-0.55,4.87,-0.18,0.06,-0.05
9.75,-0.59,4.93,-0.15,0.08,-0.08
9.52,-0.17,4.12,-0.15,0.15,-0.09
8.9,-0.51,4.59,-0.36,0.39,0.02
11.77,-1.19,6.45,-0.34,-0.25,-0.16
10.09,-0.21,4.15,-0.32,-0.73,0.04
9.48,-0.51,3.88,-0.21,-0.23,-0.03
9.96,-0.62,3.77,-0.2,-0.12,0.01
9.68,-0.61,3.96,-0.19,0.01,-0.03
10.04,-0.68,4.35,-0.17,0.11,-0.04
10.09,-0.7,4.28,-0.18,0.11,-0.04
10.03,-0.56,4.22,-0.16,0.1,-0.04
10.0,-0.67,4.32,-0.15,0.06,-0.03
9.97,-0.65,4.24,-0.15,0.02,-0.04
9.98,-0.56,4.32,-0.13,0.02,-0.03
9.98,-0.57,4.27,-0.11,0.01,-0.02
9.95,-0.61,4.31,-0.1,0.01,-0.01
9.96,-0.65,4.23,-0.09,-0.0,-0.01
10.02,-0.58,4.32,-0.08,-0.0,-0.01
10.0,-0.54,4.26,-0.07,-0.01,0.0
9.95,-0.66,4.22,-0.07,-0.02,0.01
9.91,-0.66,4.29,-0.08,-0.01,0.01
9.91,-0.64,4.34,-0.09,0.0,0.01
9.96,-0.65,4.37,-0.09,0.01,0.01
9.95,-0.74,4.33,-0.12,0.0,-0.0
10.02,-0.6,4.33,-0.13,0.0,-0.0
9.95,-0.68,4.3,-0.14,-0.0,0.01
10.0,-0.69,4.41,-0.16,-0.03,0.02
9.94,-0.7,4.35,-0.14,-0.05,0.0
10.01,-0.71,4.43,-0.16,-0.07,0.01
9.9,-0.76,4.4,-0.17,-0.09,0.02
9.96,-0.71,4.36,-0.16,-0.07,0.01
9.94,-0.81,4.18,-0.15,-0.06,0.0
9.92,-0.77,4.24,-0.16,-0.01,-0.01
9.92,-0.81,4.27,-0.16,0.01,-0.02
9.87,-0.73,4.28,-0.16,-0.01,-0.01
10.03,-0.73,4.26,-0.14,0.03,-0.01
10.0,-0.79,4.24,-0.13,0.01,-0.02
9.99,-0.8,4.23,-0.13,0.02,-0.02
9.92,-0.8,4.22,-0.13,0.0,-0.02
9.87,-0.79,4.21,-0.13,0.03,-0.03
9.87,-0.74,4.21,-0.12,0.06,-0.06
9.97,-0.75,4.38,-0.15,0.1,-0.06
10.19,-0.77,4.41,-0.17,0.07,-0.09
10.2,-0.48,3.8,-0.13,-0.07,-0.06
9.69,0.15,3.12,0.02,0.02,-0.06
10.1,0.02,3.23,0.06,0.01,-0.0
9.79,-0.07,3.15,0.12,0.07,-0.05
9.33,0.13,3.04,-0.02,0.08,-0.07
9.78,0.68,2.75,0.1,0.44,0.13
