Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.34,-0.65,2.79,-0.02,-0.02,-0.02
10.29,-0.63,2.82,-0.0,0.02,-0.02
10.31,-0.63,2.86,-0.0,0.04,-0.02
10.29,-0.62,2.95,-0.01,0.06,-0.02
10.36,-0.61,2.99,-0.04,0.07,-0.03
10.39,-0.56,2.96,-0.07,0.05,-0.02
10.3,-0.51,2.93,-0.07,0.07,-0.0
10.32,-0.54,3.1,-0.08,0.05,-0.01
10.41,-0.5,3.28,-0.12,0.06,-0.01
10.36,-0.46,3.19,-0.14,0.06,-0.01
10.35,-0.4,3.19,-0.14,0.02,-0.01
10.25,-0.4,3.1,-0.12,0.02,-0.01
10.27,-0.4,3.15,-0.11,0.03,-0.02
10.33,-0.46,3.25,-0.11,0.02,-0.03
10.28,-0.47,3.25,-0.12,0.03,-0.03
10.3,-0.45,3.21,-0.13,0.03,-0.03
10.3,-0.47,3.27,-0.13,0.03,-0.03
10.29,-0.51,3.41,-0.14,0.01,-0.02
10.23,-0.46,3.33,-0.15,0.01,-0.0
10.25,-0.47,3.28,-0.15,0.0,-0.01
10.31,-0.41,3.26,-0.15,0.01,-0.01
10.26,-0.44,3.26,-0.14,-0.0,-0.01
10.25,-0.44,3.29,-0.14,-0.0,-0.01
10.3,-0.44,3.23,-0.12,-0.0,-0.02
10.28,-0.44,3.27,-0.12,-0.0,-0.02
10.32,-0.47,3.14,-0.12,-0.01,-0.02
10.27,-0.5,3.15,-0.11,-0.0,-0.02
10.31,-0.48,3.2,-0.12,-0.0,-0.01
10.38,-0.45,3.12,-0.11,-0.01,-0.01
10.26,-0.44,3.2,-0.1,-0.02,-0.0
10.25,-0.45,3.23,-0.11,-0.01,0.0
10.32,-0.41,3.24,-0.1,-0.01,-0.01
10.26,-0.43,3.2,-0.1,-0.0,-0.0
10.31,-0.5,3.14,-0.09,-0.02,-0.01
9.95,-0.59,3.13,-0.13,0.01,-0.09
10.86,-0.98,2.89,-0.14,0.11,-0.09
10.29,-0.16,2.09,0.06,0.06,-0.04
10.16,-0.44,2.54,0.1,0.12,0.02
9.93,-1.09,2.56,0.07,0.23,-0.05
10.35,-0.16,2.65,0.1,0.16,-0.1
10.04,-0.36,2.62,0.18,0.15,-0.09
10.12,-0.07,2.37,0.27,0.11,-0.08
10.04,-0.64,1.95,0.41,0.0,-0.05
9.31,0.67,2.44,0.64,0.07,-0.03
8.81,-0.31,2.55,0.73,0.11,-0.04
7.07,0.21,2.87,0.91,0.28,-0.12
6.73,0.65,2.61,1.12,0.61,-0.13
8.31,0.8,2.73,1.14,0.52,0.02
9.65,2.08,4.2,1.51,0.97,0.15
8.27,-0.65,3.93,1.86,0.58,-0.08
7.61,-0.91,4.41,1.55,0.27,-0.06
6.55,2.21,6.62,2.05,0.43,-0.25
5.72,-1.35,7.57,1.95,1.11,-0.57
8.98,0.14,8.53,1.79,0.8,-0.81
4.16,10.8,21.9,0.77,2.05,-1.99
27.85,14.22,17.19,0.84,4.37,-0.83
-1.39,-5.71,-10.48,2.86,1.77,-3.7
10.46,4.02,0.84,1.68,4.37,-2.0
10.41,0.0,1.85,2.53,0.2,-1.26
-2.66,8.77,2.1,3.45,0.58,-0.82
9.69,14.74,3.44,4.03,1.14,2.62
0.89,15.54,-0.92,4.37,-2.15,3.74
16.77,63.81,-10.92,4.37,-3.78,-4.14
-1.98,-9.53,-5.41,1.0,-0.71,-1.38
-4.82,21.81,-6.37,3.68,-1.15,-1.12
-4.05,2.1,-11.36,2.16,1.36,1.43
6.75,2.49,-5.47,3.16,-1.15,-0.17
-5.54,2.68,-11.8,2.45,-0.09,0.49
3.04,-0.56,-9.74,2.3,0.55,1.01
-1.94,-1.05,-8.6,1.61,-0.81,0.84
0.05,-4.25,-9.05,1.09,0.72,0.71
2.95,1.81,-10.18,1.55,-0.55,0.38
1.49,-1.95,-10.17,0.75,0.57,0.57
1.97,-1.84,-7.98,0.23,-0.06,0.25
1.6,-3.0,-9.02,0.06,0.22,0.09
2.49,-2.99,-8.83,0.12,0.27,0.01
1.8,-0.72,-9.37,0.06,-0.04,0.09
2.97,-1.28,-9.32,0.39,0.36,0.08
2.88,-2.03,-8.74,0.26,0.06,-0.1
2.6,-0.8,-8.99,0.21,0.09,-0.11
3.0,-2.4,-9.18,0.25,-0.03,0.23
