Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.55,0.1,0.92,-0.15,-0.02,0.0
10.55,0.11,0.87,-0.15,-0.03,0.0
10.59,0.11,0.91,-0.14,-0.02,-0.0
10.55,0.13,0.89,-0.14,-0.0,-0.0
10.56,0.07,0.89,-0.13,-0.01,-0.0
10.51,0.15,0.84,-0.12,-0.0,-0.01
10.54,0.13,0.83,-0.11,-0.01,-0.01
10.51,0.17,0.8,-0.11,0.01,-0.01
10.73,0.08,0.7,-0.11,-0.01,-0.02
10.33,0.25,0.56,-0.12,-0.02,-0.01
10.58,0.2,0.6,-0.1,0.03,0.0
10.51,0.14,0.75,-0.06,0.0,-0.01
10.6,0.09,0.74,-0.07,0.01,-0.0
10.59,0.06,0.67,-0.09,-0.01,-0.0
10.44,0.06,0.59,-0.1,0.01,0.03
10.57,-0.01,0.7,-0.09,0.03,0.02
10.79,-0.11,0.72,-0.12,0.04,0.04
10.53,-0.3,1.29,-0.18,0.05,0.03
10.33,-0.4,1.7,-0.27,0.15,0.06
10.6,0.11,1.36,-0.26,0.13,0.03
10.21,-0.08,1.04,-0.22,0.08,-0.0
10.77,-0.25,1.08,-0.3,0.16,0.02
10.67,0.09,1.23,-0.25,0.06,0.01
10.67,-0.25,1.38,-0.25,0.05,-0.0
10.54,-0.04,1.15,-0.24,-0.02,-0.01
10.6,-0.15,1.35,-0.26,0.0,0.0
10.37,0.08,1.29,-0.19,-0.04,-0.0
10.72,-0.18,1.38,-0.16,0.01,0.01
10.49,-0.19,1.4,-0.15,-0.05,0.01
10.65,-0.29,1.24,-0.19,-0.0,0.01
10.31,-0.13,1.2,-0.18,-0.05,-0.01
10.63,-0.25,1.02,-0.2,0.06,0.01
10.77,-0.03,1.18,-0.18,-0.07,0.02
10.3,-0.4,1.06,-0.19,0.01,0.02
10.84,-0.26,1.38,-0.25,-0.0,0.02
10.14,-0.06,0.94,-0.21,-0.01,-0.01
10.86,-0.17,1.24,-0.23,0.03,0.01
10.08,0.01,1.01,-0.17,-0.04,0.01
10.47,-0.45,1.29,-0.2,0.06,-0.0
9.98,-0.14,0.78,-0.22,0.01,-0.07
11.06,0.18,0.85,-0.21,0.07,-0.11
9.36,0.46,-0.06,-0.21,-0.23,-0.06
9.44,0.42,-0.2,-0.24,-0.04,-0.04
10.24,1.12,-0.92,-0.14,-0.18,0.03
9.72,1.5,-1.08,0.1,-0.26,0.01
9.52,2.49,-1.43,0.62,-0.16,-0.07
9.14,2.72,-1.36,1.38,-0.17,-0.15
8.0,2.28,0.55,1.94,-0.02,-0.28
7.88,1.31,-0.07,2.22,0.24,-0.35
9.96,0.83,-0.35,2.17,0.5,-0.44
11.05,-0.41,0.04,2.01,0.23,-0.33
8.18,-2.7,-0.18,1.69,-0.01,-0.49
6.69,0.31,0.1,1.76,0.55,-0.62
5.59,1.63,3.06,2.06,1.46,-0.91
6.12,0.21,6.24,2.23,1.98,-1.14
5.21,-2.01,3.11,1.56,2.79,-1.24
18.29,0.81,35.57,-2.03,4.37,0.19
21.81,8.63,0.14,0.74,-0.09,-2.37
-0.46,-0.03,-2.8,0.02,3.23,-2.36
11.7,11.86,1.38,2.21,4.37,-1.54
6.54,-0.45,4.1,3.76,2.74,-1.94
-0.66,2.4,6.93,3.34,2.13,-2.51
-1.24,7.63,11.57,3.3,0.74,-0.44
0.65,13.64,6.38,2.41,1.66,0.87
-12.28,32.74,3.29,4.37,-1.27,-1.42
8.31,0.63,-6.96,0.47,1.89,0.33
-3.93,13.3,0.85,-0.42,1.03,0.39
0.93,5.11,1.86,1.71,2.17,0.26
-4.05,8.66,-2.34,0.66,-0.12,-0.34
-1.36,10.74,-2.08,0.13,1.02,0.47
-1.13,6.08,-3.41,0.44,0.3,0.18
-1.64,8.35,-2.85,0.28,-0.04,-0.2
-2.17,8.98,-2.85,0.33,0.1,-0.04
-0.62,8.28,-1.84,0.23,-0.01,0.3
-0.2,8.65,-1.3,-0.05,-0.03,0.36
-0.16,10.24,-2.06,-0.13,-0.03,0.11
1.29,9.15,-0.76,-0.18,0.12,0.22
0.88,8.98,-1.46,-0.09,0.11,0.05
2.27,8.5,-2.15,-0.25,0.05,0.04
0.2,10.37,-1.25,-0.43,-0.41,0.15
1.15,8.32,-1.84,-0.48,-0.26,0.11
0.46,9.51,-0.75,-0.52,-0.46,0.08
-0.95,11.84,-0.28,-0.23,-0.37,0.03
1.77,9.64,0.12,0.2,0.29,0.02
0.87,8.37,-1.3,0.16,-0.57,0.04
-0.33,9.27,-3.36,-0.43,-0.3,0.08
0.69,8.1,-2.05,-0.43,-0.16,-0.3
0.55,8.69,-1.35,-0.93,-0.2,-0.24
0.8,9.18,-0.49,-1.16,-0.27,-0.21
0.11,10.22,0.45,-1.21,-0.48,-0.23
-0.18,11.3,0.86,-1.41,-0.57,-0.22
-0.23,9.92,0.89,-1.19,-0.63,-0.25
-0.83,9.36,2.72,-1.77,-0.71,-0.46
-1.17,8.66,4.02,-2.52,-0.64,-0.69
-3.28,10.15,5.37,-2.67,-0.43,-0.83
-1.4,9.1,5.57,-2.76,-0.17,-1.2
-2.57,8.12,5.68,-3.67,-0.39,-0.99
-2.57,6.81,7.97,-3.35,-0.71,-0.98
-2.57,6.64,7.64,-2.15,-1.12,-0.9
-1.53,3.39,7.55,-1.12,-0.81,-0.65
-1.45,4.06,11.45,-0.75,-0.35,-0.53
1.91,3.03,9.37,0.25,-0.13,-0.65
-1.87,2.08,9.92,0.05,-0.18,-0.17
-0.27,2.02,10.54,-0.76,0.4,0.17
0.21,3.24,10.04,-0.48,0.06,-0.14
-1.78,5.41,10.38,0.01,0.25,0.01
-2.19,3.72,10.91,0.05,0.34,0.15
-1.48,3.11,11.02,-0.12,0.08,0.02
-2.43,2.58,9.81,-0.38,-0.2,-0.04
-2.27,3.75,9.62,-0.4,-0.37,0.15
-2.84,2.84,10.14,-0.07,-0.31,-0.04
