Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.33,-1.08,2.8,-0.11,-0.01,-0.0
10.31,-1.17,2.78,-0.1,-0.01,-0.0
10.35,-1.15,2.75,-0.11,-0.03,-0.0
10.29,-1.16,2.79,-0.11,-0.01,-0.0
10.34,-1.2,2.75,-0.13,-0.01,-0.0
10.35,-1.21,2.78,-0.14,-0.04,0.01
10.31,-1.14,2.79,-0.14,-0.01,0.01
10.31,-1.19,2.7,-0.13,-0.04,-0.01
10.31,-1.21,2.81,-0.14,-0.02,-0.0
10.31,-1.21,2.72,-0.14,-0.01,-0.01
10.34,-1.17,2.76,-0.14,-0.01,-0.01
10.35,-1.19,2.78,-0.13,-0.02,-0.01
10.31,-1.22,2.76,-0.12,-0.01,-0.01
10.3,-1.25,2.73,-0.13,-0.01,-0.01
10.33,-1.25,2.73,-0.13,0.0,-0.02
10.34,-1.24,2.66,-0.14,0.0,-0.01
10.36,-1.21,2.7,-0.13,0.0,-0.01
10.31,-1.27,2.73,-0.14,0.02,-0.01
10.35,-1.2,2.63,-0.13,0.01,-0.01
10.35,-1.2,2.63,-0.12,0.02,-0.01
10.3,-1.22,2.74,-0.11,0.04,-0.01
10.37,-1.22,2.71,-0.11,0.05,-0.01
10.31,-1.25,2.85,-0.13,0.07,-0.01
10.33,-1.12,2.86,-0.14,0.04,-0.02
10.28,-1.15,2.91,-0.14,0.05,-0.01
10.33,-1.14,2.96,-0.15,0.05,-0.01
10.21,-1.14,2.8,-0.13,0.01,-0.02
10.22,-1.27,2.93,-0.15,0.03,-0.04
10.58,-1.34,2.48,-0.14,0.02,-0.04
10.65,-1.52,2.2,-0.1,0.0,-0.03
9.99,-0.7,1.3,0.19,0.14,-0.04
10.42,-1.08,1.74,0.46,0.01,0.01
9.71,-1.19,2.14,0.43,0.17,0.02
10.18,-0.46,2.05,0.54,0.2,0.01
9.7,0.13,2.22,0.78,0.11,0.02
9.94,0.17,1.53,1.03,-0.05,0.08
9.85,0.83,1.66,1.37,-0.29,0.11
8.35,-0.62,1.64,1.56,-0.39,0.08
7.96,-0.9,1.58,1.58,-0.38,-0.09
7.17,-0.03,1.89,1.69,-0.05,-0.17
9.17,1.29,1.42,2.23,0.26,-0.19
8.87,1.94,3.28,2.99,0.26,0.17
5.9,-1.71,2.91,3.26,0.39,0.27
5.14,0.37,4.92,3.61,0.98,0.11
4.73,-1.48,9.13,4.37,1.66,0.22
6.18,-3.36,10.0,4.37,2.45,0.12
18.83,1.08,26.91,-0.13,3.43,-1.18
24.2,9.51,14.22,3.79,1.56,-1.46
2.88,-7.3,-9.84,3.5,2.46,-1.37
15.41,2.14,0.04,3.99,1.69,-0.25
7.63,-0.89,5.23,3.61,-3.25,0.5
12.51,10.65,-1.38,1.95,0.42,2.08
18.35,25.14,-5.8,4.37,-4.37,4.37
-1.65,-23.46,3.17,3.48,-2.55,-2.16
0.02,16.42,-7.33,-0.53,-1.07,-0.3
9.59,-0.57,-1.62,2.34,-1.77,-0.18
4.55,4.25,-10.49,2.51,-2.62,-0.24
3.05,-2.84,-11.96,2.93,-1.88,0.43
5.53,2.41,-8.57,1.11,-1.12,1.06
4.09,0.18,-7.77,0.99,-1.24,0.42
2.23,-0.44,-8.57,0.62,-0.85,0.51
4.15,1.79,-9.56,0.65,-0.88,0.22
2.11,-0.34,-10.01,0.51,-0.73,0.51
4.7,-0.39,-7.0,0.3,-0.73,0.52
1.82,-1.41,-10.42,0.31,-0.65,0.46
3.44,0.32,-8.27,0.25,-0.62,0.58
3.15,-3.08,-10.41,-0.21,-0.34,0.34
2.62,-1.22,-9.14,0.16,-0.62,0.45
2.08,-1.91,-8.29,-0.13,-0.41,0.46
1.19,-1.65,-8.86,-0.5,-0.17,0.36
0.89,-1.26,-9.96,-0.44,-0.12,0.19
1.16,1.24,-9.52,-0.25,-0.14,0.12
1.7,-0.35,-9.62,-0.36,0.12,-0.13
0.36,-1.01,-9.05,-0.26,-0.02,-0.08
2.38,-0.15,-8.43,-0.27,0.07,-0.06
1.65,-0.08,-10.13,-0.4,0.14,-0.05
1.33,0.04,-8.19,-0.16,0.09,0.03
2.1,0.34,-8.74,-0.15,0.18,-0.0
2.46,-0.07,-9.65,-0.31,0.16,-0.0
1.37,-0.27,-8.98,-0.21,0.06,0.02
3.02,0.52,-8.66,-0.11,-0.1,0.04
0.41,-0.93,-10.15,-0.39,0.32,-0.1
1.85,0.22,-8.67,-0.11,0.41,0.03
2.64,-0.13,-8.84,-0.27,0.52,-0.06
2.19,0.25,-10.2,-0.45,0.48,0.01
2.47,1.03,-7.96,-0.21,0.53,0.03
3.07,0.41,-9.22,-0.24,0.68,-0.12
2.78,1.24,-10.53,-0.29,0.72,0.02
4.07,0.05,-7.02,-0.23,0.89,-0.08
4.67,0.55,-10.3,-0.47,0.78,-0.09
4.9,0.51,-7.99,-0.37,0.9,0.05
4.79,0.28,-7.36,-0.44,1.0,0.02
5.95,1.46,-8.96,-0.28,0.7,0.06
5.92,1.24,-7.82,-0.12,0.76,0.03
6.0,0.95,-6.21,-0.22,0.67,0.05
6.1,1.16,-8.06,-0.13,0.65,0.03
6.92,1.01,-7.15,-0.24,0.64,0.15
6.83,0.86,-6.6,-0.16,0.72,0.07
7.22,0.67,-6.73,-0.29,0.71,0.07
7.66,1.64,-6.26,-0.15,0.72,0.1
7.7,0.86,-5.78,-0.18,0.66,0.08
7.59,1.51,-6.24,0.01,0.6,0.02
8.48,0.67,-5.78,0.15,0.69,-0.01
7.79,-0.24,-5.8,0.11,0.59,0.1
