Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.17,-3.04,0.55,-0.12,0.01,-0.02
10.14,-3.14,0.58,-0.12,-0.03,-0.02
10.03,-3.09,0.45,-0.16,-0.01,-0.02
10.11,-3.0,0.5,-0.16,-0.0,-0.02
10.18,-3.04,0.54,-0.13,-0.0,-0.02
10.02,-3.07,0.49,-0.14,-0.01,-0.02
10.13,-3.07,0.44,-0.14,0.0,-0.02
10.1,-2.99,0.43,-0.14,-0.01,-0.01
10.17,-3.07,0.48,-0.13,0.0,-0.01
10.07,-3.01,0.4,-0.13,-0.0,-0.01
10.14,-3.02,0.43,-0.12,0.0,-0.01
10.11,-3.04,0.47,-0.12,0.0,-0.01
10.1,-3.02,0.45,-0.11,0.0,-0.01
10.15,-3.08,0.41,-0.12,-0.0,-0.0
10.09,-3.02,0.5,-0.11,0.0,-0.0
10.11,-3.09,0.48,-0.12,-0.01,-0.0
10.14,-3.03,0.58,-0.11,0.01,-0.0
10.09,-3.1,0.52,-0.11,-0.01,-0.0
10.06,-3.08,0.52,-0.1,0.01,-0.01
10.12,-3.08,0.53,-0.1,0.02,-0.01
10.11,-3.08,0.54,-0.09,0.02,-0.01
10.11,-3.15,0.56,-0.1,0.01,-0.01
10.1,-3.11,0.55,-0.09,0.02,-0.01
10.09,-3.12,0.57,-0.09,0.01,-0.01
10.12,-3.16,0.64,-0.09,0.01,-0.01
10.07,-3.14,0.6,-0.1,0.0,-0.01
10.12,-3.19,0.63,-0.11,-0.0,-0.01
10.04,-3.08,0.56,-0.11,0.01,-0.0
10.06,-3.15,0.55,-0.11,0.03,-0.0
10.04,-3.21,0.62,-0.08,0.07,0.0
10.08,-3.2,0.69,-0.06,0.08,0.01
10.14,-3.27,0.68,-0.08,0.05,0.01
10.06,-3.24,0.67,-0.11,0.04,0.0
10.09,-3.23,0.75,-0.14,0.03,0.0
10.14,-3.23,0.74,-0.17,0.03,0.02
10.0,-3.34,0.77,-0.18,0.06,0.04
9.91,-3.41,0.89,-0.18,0.16,0.05
10.07,-3.9,0.86,-0.3,0.21,0.07
9.83,-3.66,0.78,-0.4,0.18,0.11
9.89,-3.83,0.39,-0.45,0.26,0.1
9.66,-3.42,0.3,-0.51,0.17,0.13
9.77,-3.63,0.28,-0.42,0.28,0.12
9.87,-3.82,0.28,-0.36,0.24,0.04
9.5,-4.08,0.31,-0.46,0.19,-0.02
9.42,-4.17,0.38,-0.55,0.19,-0.09
10.13,-4.64,0.12,-0.57,0.3,-0.2
10.32,-4.46,-0.09,-0.6,0.12,-0.16
9.84,-4.5,-0.13,-0.57,0.22,-0.19
10.27,-4.44,0.71,-0.62,0.33,-0.03
10.87,-2.83,-0.12,-0.52,0.0,0.1
9.84,-2.29,1.92,0.08,-0.02,-0.08
9.03,-1.91,2.19,0.49,0.13,0.03
11.02,-2.85,0.8,0.34,0.14,-0.18
9.69,-2.95,0.91,0.08,-0.16,-0.33
9.34,-0.95,0.51,0.16,-0.09,-0.31
9.96,-2.87,0.51,0.24,0.11,-0.11
10.06,-2.46,-0.38,0.05,0.03,0.14
10.12,-2.9,-0.97,0.1,0.08,0.34
11.64,-4.18,0.03,-0.0,-0.34,0.3
