epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.679,2.975,4.4732,3.78407,0.00625,0.05445,0.00329,0.00113,nan,nan,nan,0.00333182,0.00333182,0.00333182
2,682.554,1.70774,2.91606,2.33023,0.41816,0.41592,0.37009,0.1897,1.58999,2.30364,2.37713,0.00659917,0.00659917,0.00659917
3,990.675,1.4413,2.29245,2.01577,0.63944,0.55878,0.60437,0.36208,1.3656,1.72232,2.10724,0.00980052,0.00980052,0.00980052
4,1301.66,1.33693,1.98362,1.88167,0.6387,0.6696,0.70126,0.43964,1.28647,1.45785,1.98906,0.009703,0.009703,0.009703
5,1612.23,1.24542,1.71898,1.76717,0.75347,0.71948,0.76409,0.51721,1.16712,1.21507,1.85024,0.009604,0.009604,0.009604
6,1919.72,1.18595,1.56925,1.70274,0.77016,0.76218,0.81195,0.55872,1.12328,1.07519,1.80016,0.009505,0.009505,0.009505
7,2225.7,1.14117,1.45263,1.65313,0.78841,0.77211,0.82994,0.58184,1.08852,1.00082,1.74669,0.009406,0.009406,0.009406
8,2530.04,1.11,1.37793,1.60988,0.79854,0.79139,0.85164,0.61191,1.03556,0.91949,1.692,0.009307,0.009307,0.009307
9,2828.66,1.07495,1.2992,1.56496,0.82984,0.81009,0.86989,0.62881,1.0214,0.85805,1.67973,0.009208,0.009208,0.009208
10,3134.62,1.05314,1.24616,1.53853,0.83666,0.82068,0.87342,0.64103,0.98304,0.81827,1.63305,0.009109,0.009109,0.009109
11,3436.47,1.04431,1.2078,1.5253,0.84449,0.83322,0.89176,0.65794,0.96827,0.77837,1.60961,0.00901,0.00901,0.00901
12,3737.95,1.01528,1.16013,1.49583,0.85722,0.83146,0.89801,0.67145,0.9412,0.75281,1.57838,0.008911,0.008911,0.008911
13,4041.9,1.00705,1.13393,1.48863,0.86505,0.83675,0.90269,0.68245,0.92106,0.72687,1.55934,0.008812,0.008812,0.008812
14,4346.99,0.99626,1.10894,1.47437,0.86528,0.85025,0.91068,0.68764,0.91054,0.69518,1.54725,0.008713,0.008713,0.008713
15,4649.31,0.98032,1.07468,1.45626,0.87001,0.86158,0.91722,0.69682,0.89505,0.6744,1.52632,0.008614,0.008614,0.008614
16,4954.46,0.97364,1.05387,1.44052,0.87615,0.86714,0.92047,0.70391,0.88597,0.65586,1.51276,0.008515,0.008515,0.008515
17,5260.83,0.9539,1.02352,1.42491,0.88581,0.86835,0.92491,0.71137,0.87212,0.64048,1.50182,0.008416,0.008416,0.008416
18,5566.8,0.95315,1.01646,1.41941,0.88723,0.87218,0.92827,0.71718,0.86365,0.63072,1.49012,0.008317,0.008317,0.008317
19,5872.65,0.94256,0.9987,1.4107,0.89545,0.87648,0.93257,0.72257,0.85395,0.61605,1.47892,0.008218,0.008218,0.008218
20,6178.07,0.93209,0.97044,1.39732,0.90228,0.87796,0.93584,0.72749,0.84402,0.60145,1.47011,0.008119,0.008119,0.008119
21,6483.61,0.93402,0.97044,1.39651,0.89944,0.88546,0.93809,0.73329,0.83393,0.58955,1.46075,0.00802,0.00802,0.00802
22,6788.89,0.91617,0.95019,1.38463,0.90517,0.88562,0.94038,0.73645,0.8274,0.58021,1.45528,0.007921,0.007921,0.007921
23,7090.64,0.9197,0.93786,1.37912,0.90739,0.88761,0.94143,0.73993,0.82045,0.5723,1.44723,0.007822,0.007822,0.007822
24,7391.75,0.90848,0.92346,1.37214,0.90722,0.8914,0.94303,0.7429,0.81478,0.56503,1.44217,0.007723,0.007723,0.007723
25,7690.77,0.90199,0.90952,1.36686,0.90993,0.89413,0.94403,0.74434,0.80965,0.55814,1.43678,0.007624,0.007624,0.007624
26,7990.88,0.90255,0.90947,1.36396,0.9152,0.89369,0.94526,0.74643,0.80493,0.55155,1.43136,0.007525,0.007525,0.007525
27,8291.36,0.89091,0.88916,1.35549,0.91674,0.89353,0.94596,0.7482,0.8011,0.54712,1.42724,0.007426,0.007426,0.007426
28,8592.78,0.89082,0.88267,1.35387,0.91593,0.89629,0.94695,0.74999,0.79689,0.5434,1.42328,0.007327,0.007327,0.007327
29,8894.28,0.88489,0.8744,1.34895,0.91645,0.89926,0.94754,0.75184,0.79334,0.54011,1.41951,0.007228,0.007228,0.007228
30,9194.93,0.88049,0.86607,1.34537,0.91814,0.89966,0.94849,0.75384,0.79026,0.53606,1.41603,0.007129,0.007129,0.007129
31,9494.17,0.87167,0.85762,1.33647,0.9188,0.90073,0.94904,0.7553,0.78751,0.53212,1.41332,0.00703,0.00703,0.00703
32,9794.63,0.87123,0.85056,1.33398,0.91876,0.90124,0.94973,0.75645,0.78495,0.52819,1.41046,0.006931,0.006931,0.006931
33,10094,0.86164,0.8426,1.32717,0.9192,0.90201,0.95025,0.75801,0.78181,0.52477,1.40715,0.006832,0.006832,0.006832
34,10393.8,0.86188,0.84091,1.32583,0.92079,0.90151,0.95053,0.75914,0.77905,0.52197,1.40438,0.006733,0.006733,0.006733
35,10694.2,0.86058,0.83041,1.32556,0.92291,0.90201,0.95108,0.76032,0.77672,0.51952,1.40218,0.006634,0.006634,0.006634
36,10994.5,0.85833,0.82507,1.32283,0.92283,0.90341,0.95169,0.76165,0.77415,0.51735,1.39979,0.006535,0.006535,0.006535
37,11295.3,0.85167,0.82124,1.32068,0.92477,0.90341,0.95234,0.76295,0.77189,0.51464,1.39729,0.006436,0.006436,0.006436
38,11596.8,0.84931,0.80985,1.31389,0.92704,0.90352,0.9527,0.76387,0.76937,0.51211,1.39484,0.006337,0.006337,0.006337
39,11895.9,0.84627,0.80598,1.30919,0.92743,0.90438,0.95323,0.7649,0.76703,0.50938,1.39258,0.006238,0.006238,0.006238
40,12206.1,0.8408,0.8007,1.30947,0.92471,0.90658,0.95357,0.76628,0.76459,0.50688,1.39008,0.006139,0.006139,0.006139
