Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.33,-0.37,3.1,-0.14,-0.01,-0.0
10.26,-0.41,3.15,-0.14,0.01,-0.01
10.38,-0.43,3.16,-0.14,0.01,-0.01
10.27,-0.36,3.11,-0.14,-0.01,-0.02
10.26,-0.41,3.07,-0.14,-0.01,-0.02
10.36,-0.39,3.09,-0.12,-0.01,-0.02
10.31,-0.37,3.13,-0.1,-0.01,-0.01
10.34,-0.44,3.04,-0.11,-0.02,-0.01
10.31,-0.41,3.12,-0.11,-0.02,-0.02
10.34,-0.43,3.08,-0.12,-0.01,-0.02
10.32,-0.38,3.06,-0.13,-0.01,-0.01
10.32,-0.4,3.08,-0.11,-0.02,-0.01
10.35,-0.43,3.05,-0.12,-0.01,-0.0
10.35,-0.37,3.12,-0.11,-0.0,-0.01
10.29,-0.4,3.09,-0.12,0.0,-0.01
10.32,-0.38,3.1,-0.11,0.0,-0.01
10.32,-0.4,3.09,-0.11,0.01,-0.01
10.32,-0.42,3.08,-0.12,0.01,-0.01
10.3,-0.42,3.06,-0.11,0.02,-0.02
10.32,-0.4,3.01,-0.12,0.01,-0.01
10.3,-0.42,3.04,-0.12,0.01,-0.02
10.37,-0.41,3.09,-0.12,0.01,-0.01
10.33,-0.38,3.05,-0.11,0.02,-0.02
10.3,-0.43,3.05,-0.12,0.01,-0.01
10.31,-0.42,3.09,-0.13,0.01,-0.0
10.34,-0.4,3.1,-0.13,0.0,-0.01
10.32,-0.39,3.09,-0.13,0.02,-0.01
10.3,-0.4,3.17,-0.13,0.01,-0.01
10.33,-0.39,3.11,-0.13,0.01,-0.01
10.3,-0.4,3.21,-0.13,0.02,-0.01
10.26,-0.37,3.22,-0.12,0.0,-0.01
10.27,-0.39,3.19,-0.12,0.02,-0.01
10.31,-0.4,3.16,-0.12,0.01,-0.02
10.28,-0.44,3.16,-0.12,0.01,-0.02
10.31,-0.37,3.17,-0.12,-0.0,-0.02
10.3,-0.45,3.15,-0.12,0.03,-0.01
10.27,-0.44,3.18,-0.12,0.01,-0.02
10.29,-0.43,3.21,-0.11,0.01,-0.01
10.27,-0.44,3.21,-0.11,-0.0,-0.0
10.27,-0.53,3.28,-0.14,0.08,-0.06
10.39,-1.01,3.15,-0.23,0.03,-0.05
9.95,-0.48,2.57,-0.24,0.15,-0.13
10.55,-0.63,2.26,-0.34,-0.11,-0.03
9.97,-0.96,2.55,-0.49,-0.09,-0.08
9.94,-0.57,2.66,-0.57,0.16,-0.16
9.82,-0.89,2.61,-0.62,-0.01,-0.12
9.46,-1.01,2.62,-0.78,0.14,-0.18
9.3,-0.72,2.32,-0.93,0.03,-0.14
