Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.23,-3.02,1.08,0.12,-0.13,-0.05
10.01,-2.94,0.83,0.11,-0.14,-0.02
10.29,-3.16,0.91,0.22,-0.21,-0.03
10.21,-3.26,0.86,0.2,-0.34,0.03
10.22,-3.2,0.85,0.18,-0.41,0.09
9.84,-3.0,0.81,0.18,-0.38,0.06
9.91,-3.13,0.76,0.22,-0.21,-0.01
9.87,-3.02,0.56,0.27,-0.09,-0.08
10.39,-2.82,0.81,0.34,-0.06,-0.16
10.21,-2.8,1.07,0.34,-0.1,-0.17
10.2,-1.67,0.59,0.41,-0.09,-0.2
10.54,-1.04,0.79,0.72,-0.1,-0.4
10.49,-1.55,0.72,0.94,-0.02,-0.58
9.88,-3.24,0.4,0.78,0.1,-0.46
10.7,-2.92,-0.19,0.14,-0.02,-0.17
10.21,-2.14,-0.49,-0.02,0.07,-0.06
10.3,-1.75,-0.21,-0.08,0.08,0.1
10.43,-0.87,0.08,-0.18,0.14,0.21
10.32,0.13,0.47,-0.07,0.05,0.26
10.8,-1.11,0.58,-0.18,0.02,0.28
11.52,-1.49,1.15,-0.67,-0.23,0.39
10.83,-4.22,0.82,-0.97,-0.67,-0.43
8.54,-4.02,1.38,-1.05,-0.3,0.08
12.64,-5.47,0.16,-0.91,-0.24,0.26
9.25,-4.0,-0.4,-0.63,-0.46,0.68
8.13,-4.12,-0.74,-0.17,-0.21,0.43
8.35,-3.95,-1.05,0.07,-0.24,0.03
9.48,-3.91,-0.8,0.11,-0.17,-0.35
11.09,-3.41,0.24,0.01,-0.08,-0.03
8.59,-4.13,-0.37,-0.03,0.07,-0.11
10.09,-3.68,-1.2,-0.05,0.14,-0.01
9.92,-3.09,-0.64,0.03,0.04,0.09
9.51,-2.82,-0.59,0.2,-0.15,-0.1
9.98,-2.48,-0.48,0.14,-0.16,-0.04
8.6,-3.72,-0.61,0.15,0.22,-0.37
12.09,-2.86,-0.68,-0.13,-0.31,0.16
10.0,-2.43,-0.02,0.01,-0.08,-0.14
10.01,-2.55,-0.13,0.01,-0.01,-0.08
10.01,-2.53,0.01,-0.1,0.02,0.01
10.45,-2.72,-0.2,-0.12,0.01,-0.03
10.31,-2.94,-0.01,-0.14,-0.02,-0.0
10.12,-2.98,-0.2,-0.15,0.01,-0.01
9.97,-3.04,-0.25,-0.17,0.05,0.01
10.03,-2.99,-0.22,-0.19,0.07,0.01
10.25,-3.0,-0.25,-0.19,0.06,0.02
10.09,-3.01,-0.36,-0.2,0.03,0.04
10.0,-3.03,-0.33,-0.2,0.06,0.02
9.85,-3.0,-0.38,-0.18,0.13,0.02
10.23,-3.37,-0.07,-0.25,0.14,0.11
10.09,-3.57,0.19,-0.24,0.11,0.05
10.85,-2.89,-0.04,0.1,0.55,-0.12
9.71,-3.48,-0.28,-0.04,0.09,-0.18
9.91,-3.7,0.14,0.04,0.23,-0.01
9.99,-2.71,-0.64,-0.23,-0.11,0.1
9.77,-3.79,0.13,-0.08,-0.0,-0.02
9.99,-3.67,-0.17,-0.08,-0.01,-0.04
9.32,-5.07,0.05,-0.34,0.47,0.21
11.46,-2.49,-0.79,-0.13,0.26,-0.43
8.72,-2.75,0.49,0.05,0.07,0.4
10.99,-3.15,1.48,0.53,0.2,-0.2
9.16,-3.21,1.79,0.39,0.02,0.01
7.7,-1.84,1.57,0.64,0.39,-0.22
12.28,-3.25,1.55,0.74,0.41,-0.27
10.45,-2.89,0.61,0.48,0.05,0.03
10.15,-3.65,0.27,0.16,0.28,-0.03
10.54,-1.91,0.4,0.05,-0.02,-0.04
9.81,-0.1,2.12,0.32,0.25,-0.14
9.79,-0.92,1.12,0.52,0.35,-0.34
9.17,-0.45,0.73,-0.1,0.22,-0.26
8.39,0.24,0.2,-0.11,0.18,-0.2
9.22,0.09,0.73,0.16,0.14,0.08
6.8,-1.03,1.65,0.08,-0.11,-0.2
6.3,-2.07,1.54,-0.21,-0.03,-0.02
8.05,0.11,0.03,-0.26,-0.41,0.4
7.16,-2.42,2.62,-0.47,0.16,0.85
11.36,-1.98,1.77,-0.94,0.28,0.67
11.15,0.01,1.22,-0.98,0.16,0.55
10.93,-1.33,1.31,-1.24,0.67,0.61
13.23,0.19,1.37,-1.32,0.96,1.01
12.46,-1.94,1.94,-0.86,0.86,0.97
5.62,-4.85,15.41,-0.77,-0.16,1.06
3.26,-3.08,7.04,-0.97,0.36,0.86
10.36,-12.88,-1.97,-1.57,0.85,1.56
10.23,-8.85,-0.14,-1.13,1.01,2.26
9.13,-7.48,-1.29,-0.83,2.81,1.9
6.94,-4.34,3.63,-2.61,-0.8,2.46
0.98,-19.26,-1.9,0.22,-2.06,3.99
1.36,-6.5,-5.84,1.41,0.25,2.66
-2.01,-9.68,-0.53,-2.0,-1.56,3.88
0.11,-6.75,-2.21,-1.48,-1.68,3.8
-7.3,-7.45,2.18,-1.33,-0.76,3.01
-14.41,-13.59,-0.41,-1.06,0.08,3.39
-8.78,-1.81,0.39,-1.08,-0.14,-0.61
2.01,-8.16,-3.61,-1.05,0.25,0.91
-11.54,1.14,-2.8,-1.42,-0.44,0.59
-1.22,-7.36,-3.22,-0.83,-0.75,-0.25
-10.58,-6.45,-4.33,-0.23,-0.46,-0.54
-3.3,-8.33,-2.48,0.04,-0.49,-0.4
-6.56,-7.27,-2.25,0.3,-0.14,-0.51
-3.22,-6.97,-2.73,0.44,0.25,-0.44
-4.87,-8.59,-1.88,0.41,0.2,-0.35
-3.85,-8.27,-1.62,0.54,-0.02,-0.53
-3.27,-9.03,-0.94,0.48,0.19,-0.48
-3.58,-9.34,-1.05,0.32,0.05,-0.31
-3.13,-8.86,-0.84,0.27,0.13,-0.22
-3.45,-9.0,-1.09,0.13,0.06,-0.1
-3.27,-8.89,-0.85,0.08,-0.02,-0.06
-3.6,-8.9,-0.85,0.03,-0.05,-0.03
-3.52,-8.96,-0.73,-0.0,-0.03,-0.0
-3.75,-8.98,-0.74,0.03,0.04,-0.02
-3.55,-8.88,-0.79,-0.04,-0.04,-0.03
-3.63,-8.78,-0.69,-0.04,0.01,-0.08
-3.63,-8.9,-0.58,-0.08,0.05,-0.08
