Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.3,-2.5,0.58,-0.14,0.02,-0.01
10.29,-2.47,0.64,-0.12,0.02,-0.01
10.27,-2.5,0.64,-0.12,0.01,-0.01
10.23,-2.52,0.63,-0.13,0.01,0.0
10.24,-2.53,0.72,-0.11,0.02,-0.0
10.3,-2.52,0.69,-0.11,0.02,-0.01
10.27,-2.56,0.66,-0.11,0.01,-0.0
10.22,-2.53,0.73,-0.12,0.01,0.0
10.34,-2.57,0.72,-0.11,0.01,-0.01
10.27,-2.6,0.76,-0.13,0.0,-0.0
10.22,-2.55,0.73,-0.12,-0.0,0.0
10.24,-2.62,0.69,-0.12,-0.01,0.0
10.25,-2.56,0.79,-0.11,0.0,-0.0
10.26,-2.6,0.77,-0.1,0.0,-0.01
10.18,-2.6,0.77,-0.11,0.01,-0.0
10.25,-2.6,0.77,-0.1,0.02,-0.0
10.25,-2.58,0.79,-0.09,0.02,-0.0
10.22,-2.57,0.78,-0.09,0.02,-0.0
10.31,-2.6,0.73,-0.08,0.03,-0.01
10.27,-2.62,0.81,-0.09,0.0,-0.0
10.26,-2.69,0.77,-0.1,0.01,-0.0
10.25,-2.64,0.81,-0.1,0.0,-0.0
10.25,-2.65,0.85,-0.11,-0.01,0.0
10.19,-2.64,0.87,-0.09,-0.0,0.01
10.38,-2.56,1.06,-0.05,0.02,0.01
10.26,-2.81,0.78,0.02,0.15,-0.04
10.49,-2.53,0.32,0.04,0.08,-0.02
9.76,-2.77,0.7,0.02,0.06,0.04
10.42,-2.62,0.33,0.11,0.09,0.0
10.17,-2.91,0.27,0.07,0.03,0.06
10.17,-2.74,0.12,0.03,0.06,0.08
9.97,-2.67,0.09,0.03,0.01,0.04
9.97,-2.64,-0.06,0.14,0.1,0.04
10.14,-3.56,0.08,0.05,-0.1,0.1
9.92,-3.18,0.09,0.04,0.02,0.05
9.41,-3.51,0.04,-0.22,-0.17,0.09
