Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.62,-0.64,0.93,-0.13,-0.02,-0.0
10.52,-0.61,0.95,-0.13,-0.02,-0.01
10.54,-0.62,1.09,-0.14,0.0,0.0
10.58,-0.58,0.87,-0.15,0.01,-0.0
10.57,-0.56,0.89,-0.13,0.01,-0.01
10.54,-0.6,0.83,-0.12,0.01,-0.02
10.53,-0.62,0.77,-0.1,0.01,-0.02
10.54,-0.69,0.77,-0.09,-0.0,-0.03
10.52,-0.67,0.78,-0.07,0.01,-0.03
10.57,-0.67,0.82,-0.08,0.02,-0.02
10.57,-0.62,0.8,-0.07,0.02,-0.01
10.51,-0.68,0.83,-0.04,-0.0,-0.02
10.6,-0.66,0.98,-0.07,0.0,-0.01
10.43,-0.67,0.97,-0.07,0.0,-0.02
10.5,-0.62,0.96,-0.08,0.01,-0.02
10.55,-0.61,0.87,-0.1,0.03,-0.02
10.63,-0.61,1.01,-0.09,0.02,-0.02
10.52,-0.59,0.96,-0.09,0.03,-0.02
10.64,-0.55,1.04,-0.09,0.02,-0.02
10.5,-0.52,1.13,-0.06,0.02,-0.03
10.54,-0.49,1.07,-0.03,0.01,0.0
10.49,-0.59,1.13,-0.04,0.01,-0.03
10.62,-0.6,1.13,-0.07,0.02,-0.03
10.46,-0.62,1.12,-0.09,0.01,-0.05
10.58,-0.68,0.95,-0.06,0.0,-0.07
10.72,-0.49,1.24,-0.02,-0.01,-0.05
10.52,-0.64,1.19,-0.05,-0.02,-0.03
10.6,-0.41,1.07,-0.05,-0.04,-0.02
10.49,-0.48,1.09,-0.02,-0.05,-0.04
10.55,-0.45,1.11,-0.0,-0.02,-0.03
10.4,-0.41,1.17,0.04,0.01,-0.04
11.21,-0.47,0.67,0.09,-0.0,0.07
10.2,-1.08,0.59,0.08,-0.11,0.13
10.66,-1.23,0.86,-0.03,0.01,0.15
10.17,-0.09,0.39,0.02,-0.17,-0.03
10.3,-1.31,0.28,0.09,-0.07,-0.09
11.12,-0.34,0.93,-0.01,-0.06,-0.07
9.9,-1.23,0.66,-0.2,0.05,-0.06
