Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.97,-3.22,2.21,-0.12,-0.0,-0.01
10.01,-3.26,2.11,-0.12,0.01,-0.01
9.96,-3.19,2.17,-0.13,0.0,-0.01
10.01,-3.24,2.16,-0.12,0.0,-0.01
9.98,-3.26,2.16,-0.12,-0.0,-0.01
9.99,-3.25,2.18,-0.13,-0.0,-0.01
9.99,-3.22,2.17,-0.14,0.0,-0.01
9.99,-3.23,2.19,-0.13,-0.0,-0.01
9.98,-3.19,2.17,-0.12,0.0,-0.01
9.98,-3.23,2.21,-0.12,0.0,-0.01
9.99,-3.22,2.16,-0.12,0.0,-0.01
9.99,-3.22,2.17,-0.12,-0.0,-0.01
9.99,-3.22,2.21,-0.12,-0.01,-0.01
10.01,-3.23,2.18,-0.12,-0.01,-0.01
9.96,-3.23,2.17,-0.12,-0.01,-0.01
9.99,-3.27,2.15,-0.12,-0.0,-0.01
10.01,-3.22,2.15,-0.13,-0.01,-0.01
9.98,-3.23,2.13,-0.12,-0.01,-0.01
9.97,-3.23,2.15,-0.12,-0.01,-0.01
9.99,-3.25,2.18,-0.11,-0.01,-0.01
9.94,-3.25,2.13,-0.12,-0.01,-0.01
9.99,-3.27,2.11,-0.13,-0.01,-0.01
9.99,-3.22,2.15,-0.14,-0.0,-0.01
9.98,-3.28,2.07,-0.13,-0.01,-0.01
9.96,-3.27,2.07,-0.13,0.0,-0.01
10.02,-3.24,2.13,-0.12,-0.0,-0.01
9.98,-3.22,2.15,-0.12,-0.0,-0.01
9.95,-3.28,2.14,-0.12,-0.0,-0.02
9.95,-3.35,2.15,-0.12,-0.0,-0.01
10.07,-3.37,2.06,-0.09,0.05,0.01
10.14,-3.11,2.08,-0.03,0.0,-0.03
10.29,-3.55,1.62,-0.05,0.03,-0.04
9.49,-3.22,1.47,-0.18,-0.08,0.01
9.88,-3.28,1.52,-0.14,0.04,-0.02
10.16,-3.18,1.44,-0.03,0.03,-0.03
9.91,-3.33,1.38,-0.02,0.01,0.02
9.91,-3.3,1.23,-0.03,0.01,0.0
9.8,-3.26,1.11,0.0,0.02,0.0
9.61,-3.72,1.07,-0.07,0.09,-0.0
9.79,-3.57,1.28,-0.11,0.18,-0.01
9.36,-3.38,0.97,-0.17,0.25,0.04
9.32,-3.74,1.16,-0.18,0.36,0.04
