Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.05,0.17,3.71,0.13,-0.03,0.09
10.08,0.12,3.86,0.15,-0.0,0.08
10.1,0.22,4.0,0.13,-0.04,0.06
10.02,0.08,4.09,0.08,-0.05,0.05
9.99,0.07,4.15,0.0,-0.04,0.02
10.0,0.08,4.08,-0.06,-0.03,-0.02
10.0,0.25,3.96,-0.15,-0.03,-0.03
10.03,0.15,4.03,-0.21,-0.01,-0.05
9.97,0.12,3.93,-0.27,-0.04,-0.09
10.17,0.07,4.12,-0.33,-0.08,-0.12
10.12,0.35,3.76,-0.35,-0.08,-0.12
10.25,0.46,3.59,-0.29,-0.09,-0.09
10.17,0.52,3.52,-0.2,-0.1,-0.04
10.21,0.35,3.55,-0.12,-0.05,-0.01
10.15,0.22,3.52,-0.1,-0.05,-0.0
10.16,0.19,3.63,-0.12,-0.04,-0.01
10.19,0.28,3.58,-0.12,-0.03,-0.0
10.12,0.27,3.55,-0.11,0.04,-0.0
10.13,0.32,3.52,-0.08,0.08,-0.0
10.13,0.24,3.71,-0.1,0.11,-0.0
10.15,0.26,3.76,-0.07,0.09,-0.0
10.18,0.26,3.86,-0.06,0.07,-0.01
10.2,0.19,3.79,-0.07,0.03,-0.02
10.14,0.18,3.74,-0.1,0.01,-0.02
10.08,0.27,3.8,-0.11,0.02,-0.02
10.17,0.21,3.85,-0.11,0.0,-0.01
10.05,0.19,3.8,-0.13,0.01,-0.01
10.11,0.17,3.87,-0.13,0.03,-0.02
10.13,0.25,3.91,-0.15,0.02,-0.02
10.07,0.24,3.83,-0.16,0.01,-0.03
10.15,0.25,3.87,-0.17,0.01,-0.03
10.11,0.36,3.91,-0.16,-0.01,-0.01
10.01,0.17,3.89,-0.18,-0.04,-0.02
10.08,0.28,3.91,-0.2,-0.0,-0.02
10.09,0.32,3.96,-0.17,0.0,-0.02
10.0,0.21,3.87,-0.18,-0.01,-0.02
10.07,0.35,3.87,-0.18,0.01,-0.03
10.26,0.07,3.94,-0.18,0.02,-0.02
10.01,0.27,3.77,-0.15,0.03,-0.0
10.26,0.15,3.83,-0.09,0.07,0.03
10.03,0.13,3.78,-0.05,-0.0,0.02
10.18,-0.17,3.9,-0.06,0.02,0.01
10.03,-0.17,4.26,-0.03,0.16,0.03
9.91,0.49,4.1,0.04,0.26,0.14
10.4,0.18,4.1,0.28,0.58,0.4
10.5,-1.16,3.72,0.49,0.4,0.48
9.85,-1.68,3.73,0.21,0.52,0.47
9.89,-1.15,3.61,-0.02,0.36,0.3
10.14,-0.38,3.2,-0.02,0.2,0.13
9.57,-1.57,4.22,-0.23,0.08,-0.1
9.13,-1.84,4.15,-0.58,0.03,-0.29
9.52,-2.06,4.1,-0.88,0.4,-0.5
11.94,-1.57,7.14,-1.39,0.68,-0.3
7.87,1.29,3.83,-0.98,-0.39,-0.31
8.26,1.21,4.4,-0.28,0.65,-0.32
11.47,0.24,5.38,-0.38,0.7,-0.36
9.49,0.29,3.79,-0.26,0.12,-0.43
7.98,-1.19,4.06,-0.27,0.45,-0.5
9.68,0.41,4.27,-0.17,0.52,-0.41
9.79,0.27,3.6,0.02,0.25,-0.11
10.29,0.12,3.96,0.1,0.39,0.19
11.27,-0.91,4.55,0.03,0.4,0.38
11.65,-2.28,5.08,-0.58,0.51,0.23
4.11,2.74,7.46,-0.6,-0.09,0.17
3.16,0.16,5.71,-0.15,1.42,-0.14
10.35,-1.12,7.66,0.5,1.87,0.14
10.93,2.41,6.6,0.26,0.33,0.63
8.43,-1.32,6.73,0.28,0.99,0.78
10.26,-2.16,9.59,0.6,0.72,0.81
7.56,-2.77,8.19,0.05,0.93,0.82
5.71,-1.62,3.77,0.09,1.13,0.65
6.36,0.63,4.26,0.35,2.09,0.84
-0.91,-1.38,8.08,-1.85,4.37,-0.74
0.03,0.33,11.05,-1.98,2.33,0.86
