Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.3,-2.0,1.97,-0.1,0.01,-0.02
10.33,-2.01,1.95,-0.1,0.01,-0.02
10.29,-1.99,2.03,-0.1,0.02,-0.02
10.34,-2.04,2.03,-0.11,0.02,-0.02
10.32,-1.98,2.03,-0.12,0.02,-0.01
10.33,-1.95,2.04,-0.11,0.02,-0.01
10.38,-1.97,2.09,-0.1,0.01,-0.01
10.35,-1.95,2.06,-0.11,-0.01,-0.01
10.34,-1.97,2.01,-0.11,-0.01,-0.01
10.28,-1.98,2.11,-0.12,-0.01,-0.01
10.31,-1.96,1.97,-0.13,0.0,-0.01
10.38,-1.99,2.03,-0.14,-0.02,-0.01
10.31,-1.98,2.03,-0.13,-0.01,-0.01
10.36,-2.05,1.96,-0.14,-0.02,-0.01
10.28,-1.97,1.94,-0.14,-0.02,-0.01
10.34,-2.01,1.96,-0.13,-0.02,-0.01
10.31,-2.01,1.97,-0.13,-0.01,-0.01
10.3,-2.0,1.95,-0.13,-0.01,-0.01
10.34,-1.98,1.95,-0.13,-0.02,-0.01
10.32,-2.0,1.92,-0.12,-0.01,-0.01
10.28,-1.98,1.85,-0.13,-0.02,-0.01
10.18,-1.97,1.58,-0.12,-0.02,-0.02
10.45,-1.71,1.49,-0.02,0.12,-0.11
10.4,-1.47,1.42,0.12,0.26,-0.09
10.0,-1.21,1.63,0.1,0.14,-0.06
10.41,-1.11,1.46,0.27,0.31,-0.02
10.87,-1.06,1.24,0.32,0.09,0.03
10.16,-1.67,1.35,0.31,0.12,0.01
10.71,-1.13,1.43,0.38,-0.02,-0.01
9.45,-2.11,2.82,0.15,0.14,-0.07
9.49,-4.13,3.06,-0.35,0.31,-0.25
12.84,-2.55,1.36,-0.39,0.18,0.07
9.1,-2.95,1.3,-0.62,0.14,0.22
8.37,-3.11,1.94,-0.73,0.84,0.24
10.28,-2.23,2.35,-0.56,0.73,0.14
11.05,-3.26,2.58,-0.4,0.53,0.02
13.25,-4.12,0.19,-0.38,-0.14,-0.15
10.34,-1.56,2.59,-0.1,-0.29,-0.3
10.7,-0.76,2.99,0.51,0.17,-0.22
10.46,-4.5,3.79,0.14,0.07,0.06
11.24,-1.1,1.55,0.01,-0.26,-0.28
7.14,0.89,2.02,0.67,-0.61,-0.43
7.17,-2.37,2.4,0.49,0.23,-0.06
12.64,-1.66,1.74,0.16,0.03,0.07
12.1,-0.96,0.93,0.15,-0.83,0.24
11.36,-4.27,0.27,-0.24,-0.11,0.23
12.42,0.07,5.03,-0.26,-0.19,-0.1
7.09,-2.27,6.02,-0.64,0.27,-0.37
13.39,-1.64,3.51,-0.8,0.36,-0.1
8.67,-1.41,2.38,-0.87,0.01,0.48
5.37,-1.83,2.48,-0.66,0.61,0.44
9.85,-1.72,3.14,-0.17,0.82,-0.07
11.38,-3.87,1.9,-0.04,0.58,0.15
11.48,-4.77,0.62,-0.82,-0.25,0.03
8.25,-0.56,4.29,-0.22,-0.54,-0.26
11.34,0.57,4.65,0.5,0.44,0.6
12.53,-2.52,4.9,0.81,-0.63,0.66
7.96,-4.38,3.25,0.91,0.31,-0.4
7.46,2.05,2.55,1.01,0.23,-0.71
6.16,-1.86,3.86,0.65,0.81,-0.29
11.05,-1.77,2.33,0.34,0.95,-0.37
11.11,0.09,-0.52,0.25,-0.72,0.32
9.73,-1.81,13.52,0.07,0.34,-0.3
16.39,5.26,9.93,0.84,1.67,-1.64
18.62,-0.03,2.0,2.0,2.04,0.35
