Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.19,-2.43,2.28,-0.12,0.02,-0.01
10.17,-2.54,2.25,-0.11,0.06,-0.01
10.09,-2.48,2.23,-0.11,0.08,-0.02
10.09,-2.5,2.42,-0.11,0.13,-0.03
10.39,-2.43,2.42,-0.13,0.1,-0.03
10.21,-2.48,2.35,-0.15,0.01,-0.01
10.09,-2.44,2.4,-0.15,0.01,-0.01
10.2,-2.46,2.39,-0.15,0.03,-0.02
10.21,-2.42,2.41,-0.15,-0.01,-0.02
10.18,-2.45,2.33,-0.15,-0.03,-0.01
10.17,-2.43,2.38,-0.13,0.02,-0.01
10.18,-2.4,2.43,-0.14,0.0,-0.02
10.17,-2.39,2.37,-0.13,0.0,-0.01
10.17,-2.39,2.39,-0.12,0.02,-0.02
10.18,-2.43,2.42,-0.12,0.0,-0.02
10.19,-2.43,2.44,-0.11,0.01,-0.02
10.17,-2.43,2.45,-0.1,0.0,-0.02
10.17,-2.49,2.39,-0.1,0.02,-0.02
10.18,-2.48,2.44,-0.1,0.01,-0.02
10.16,-2.48,2.44,-0.11,0.01,-0.01
10.22,-2.48,2.4,-0.11,-0.0,-0.01
10.09,-2.44,2.44,-0.11,0.01,-0.01
10.2,-2.47,2.45,-0.12,0.02,-0.0
10.21,-2.4,2.5,-0.13,0.0,-0.0
10.07,-2.43,2.43,-0.13,0.02,-0.02
10.23,-2.38,2.42,-0.11,0.03,-0.02
10.21,-2.42,2.53,-0.11,0.0,-0.01
10.22,-2.26,2.34,-0.09,-0.02,-0.0
9.87,-2.95,2.58,-0.12,0.06,-0.0
9.92,-3.15,3.17,-0.23,0.28,-0.15
9.4,-1.79,2.07,-0.33,0.02,-0.42
8.91,-3.93,2.16,-0.5,0.35,-0.05
10.18,-3.02,2.33,-0.56,0.15,-0.27
9.76,-3.98,2.7,-0.29,0.11,-0.25
9.43,-2.93,2.15,-0.38,0.27,-0.17
10.82,-4.35,2.93,-0.44,0.15,-0.04
10.9,-2.4,2.71,-0.6,-0.13,0.04
9.64,1.41,2.55,0.03,-0.03,-0.38
13.5,-3.65,2.08,-0.06,0.95,-0.15
12.42,0.12,2.3,-0.12,-0.21,-0.8
6.62,0.16,1.94,0.1,-0.02,-0.15
9.64,-0.68,2.38,0.48,0.67,-0.31
9.19,-1.27,2.17,0.41,0.28,-0.16
9.91,-0.68,2.06,0.43,0.32,-0.01
10.42,-1.21,2.25,0.35,0.33,0.09
11.77,-1.45,2.11,0.16,0.15,0.06
12.4,-2.98,1.34,-0.28,0.05,0.16
14.97,0.39,1.75,-0.11,-0.02,0.14
11.32,1.62,6.11,0.17,-0.13,0.52
7.88,-4.13,5.73,-0.09,0.01,0.1
10.96,-0.43,4.1,-0.03,0.11,0.15
7.82,-1.59,4.13,-0.08,-0.17,0.52
5.6,-2.15,3.19,-0.19,0.35,0.37
9.53,-1.44,2.75,-0.06,0.19,0.23
8.94,-3.34,2.33,-0.1,-0.48,0.16
9.01,-2.53,1.15,0.13,-0.16,-0.19
13.08,-3.59,3.11,0.33,0.08,-0.31
15.44,-4.79,-1.27,-0.19,-0.71,0.32
12.53,-8.07,14.54,-0.13,0.62,0.47
7.38,2.5,9.56,-0.56,-0.74,0.01
11.99,-5.6,4.89,-0.01,0.77,0.19
10.32,-1.77,4.35,-0.6,0.08,-0.85
5.48,-0.69,2.69,-0.3,0.21,-0.84
6.13,0.12,2.25,-0.22,0.51,-0.65
5.18,-0.18,2.58,-0.29,0.4,-0.19
9.17,-0.98,2.31,-0.27,0.4,0.1
13.89,-0.35,2.61,-0.22,-1.08,0.34
8.22,-3.6,0.77,-0.25,-0.11,-0.15
14.56,0.51,3.01,0.21,1.6,-0.27
11.87,0.28,9.57,0.6,0.87,0.2
8.21,-1.25,9.49,0.3,0.77,-0.31
12.4,3.19,10.11,1.75,2.49,-0.26
12.63,-1.66,4.76,2.08,1.39,1.01
-0.56,-6.28,0.51,0.2,-0.18,0.78
-0.83,-4.01,3.79,-0.37,0.09,0.44
0.83,2.63,0.54,-0.12,0.38,1.16
8.87,3.28,2.76,3.81,1.28,1.32
6.35,-21.04,19.32,-1.22,-0.18,1.62
13.91,1.7,14.05,0.88,2.63,-0.05
3.73,-0.98,0.87,-0.14,1.16,-0.65
12.06,2.69,10.42,1.51,0.97,-0.52
9.39,-1.36,11.59,1.93,-0.42,-0.44
6.47,3.57,13.18,3.15,-1.69,-0.08
-1.08,-2.82,10.1,1.11,-0.72,1.65
9.91,12.27,9.93,1.95,-1.23,0.25
8.58,5.3,1.81,1.66,-0.36,0.41
2.6,3.71,12.33,1.38,-1.09,-0.13
7.65,12.23,7.31,2.02,-0.0,0.28
7.03,7.63,8.47,1.56,-0.59,-0.05
11.35,7.8,7.15,0.97,-0.44,0.11
7.19,8.69,0.78,0.23,-0.38,-0.73
11.82,6.04,0.47,1.01,-0.35,-0.27
8.81,4.89,1.1,0.45,-0.78,-0.11
8.65,5.07,1.38,0.09,-0.36,-0.05
7.73,5.79,2.97,-0.11,-0.16,0.03
8.89,5.63,1.91,-0.09,-0.16,-0.08
7.96,5.18,1.7,-0.18,-0.11,-0.26
8.67,5.49,2.45,-0.06,0.04,-0.03
8.76,5.23,3.36,-0.17,-0.29,0.24
8.15,4.8,2.41,-0.15,-0.19,0.14
9.5,6.6,2.61,0.21,-0.16,-0.06
8.16,4.05,1.53,0.08,-0.21,-0.22
9.07,5.78,1.75,0.12,-0.07,0.0
8.47,5.77,1.24,-0.04,-0.01,0.08
