Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.82,1.53,4.44,-0.12,0.04,-0.03
9.78,1.49,4.44,-0.13,0.03,-0.04
9.68,1.5,4.4,-0.15,0.03,-0.04
9.71,1.61,4.51,-0.14,0.05,-0.04
9.76,1.53,4.53,-0.13,0.03,-0.03
9.86,1.54,4.33,-0.15,0.03,-0.04
9.89,1.44,4.15,-0.25,0.05,-0.1
10.13,1.38,4.55,-0.41,0.01,-0.13
9.71,2.02,3.96,-0.37,-0.08,-0.14
9.61,1.86,3.72,-0.44,0.02,-0.11
9.78,1.76,3.54,-0.43,0.07,-0.12
9.8,1.53,3.7,-0.47,0.17,-0.24
9.97,1.2,4.64,-0.75,0.05,-0.34
9.84,1.66,4.37,-0.9,-0.02,-0.52
9.07,1.77,4.45,-1.03,-0.04,-0.6
8.89,2.45,4.26,-0.98,-0.07,-0.59
9.28,2.46,4.17,-1.08,-0.06,-0.48
7.75,2.59,2.93,-0.88,0.04,-0.54
7.9,3.09,3.08,-0.64,0.05,-0.4
8.79,3.07,3.71,-0.64,-0.1,-0.2
7.97,3.52,2.32,-0.36,-0.22,-0.06
7.07,3.69,2.52,-0.17,0.07,-0.02
7.45,2.92,2.52,-0.11,0.12,0.02
8.55,1.27,2.16,-0.36,-0.23,-0.01
7.1,2.46,1.53,-1.11,-0.46,0.22
7.74,1.16,5.26,-1.1,0.26,0.32
4.62,3.33,4.53,-0.17,1.1,0.76
2.93,0.91,6.43,-0.4,3.03,0.91
-0.03,-8.59,29.71,-3.46,4.07,0.9
34.26,-7.72,36.31,3.26,3.37,3.54
4.18,4.57,4.11,-0.06,3.43,2.2
7.15,-6.05,9.83,1.18,3.69,1.29
2.97,0.93,5.91,-0.08,3.65,0.71
2.92,0.59,13.96,-0.1,4.37,0.97
-2.92,0.85,7.39,-0.7,3.9,0.09
-4.7,-7.27,14.53,-2.91,-0.37,-1.5
-5.82,2.42,2.46,-1.81,0.83,-0.78
-6.11,2.84,11.11,-0.05,-0.19,0.86
-10.66,-10.36,9.9,1.16,-1.35,0.61
-8.64,-4.58,7.81,0.17,-0.63,0.04
-4.43,-1.75,10.42,-0.0,0.16,0.26
-5.0,-3.51,9.22,-0.03,-0.95,0.06
-6.82,-1.72,8.43,0.22,-1.07,0.15
-3.75,-1.63,8.39,0.04,-0.18,0.31
-5.19,0.29,10.26,0.87,-0.78,0.35
-4.9,-2.1,12.07,0.87,0.06,1.1
-4.95,-3.54,13.22,0.01,0.56,0.7
-3.95,2.81,11.94,0.26,-0.16,0.42
-3.7,1.28,8.88,0.62,-0.2,0.46
-4.08,-1.43,9.65,0.26,0.35,0.51
-2.66,0.85,9.64,-0.0,0.52,0.31
-2.04,2.13,10.03,0.05,-0.04,0.14
-4.09,0.63,9.29,0.05,-0.19,0.07
-3.38,2.45,10.07,-0.04,0.42,0.01
-2.79,1.64,10.34,0.06,0.04,0.1
-3.61,1.81,10.49,0.01,-0.1,0.06
-3.97,1.59,9.95,-0.18,0.08,-0.06
-3.2,1.68,10.27,-0.16,0.05,-0.06
-3.43,1.99,9.28,-0.11,-0.01,-0.06
-3.32,1.96,9.0,-0.08,0.21,0.02
