Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.56,-0.22,0.08,-0.12,0.01,-0.0
10.51,-0.23,0.06,-0.11,0.02,-0.01
10.52,-0.26,0.18,-0.11,0.02,-0.0
10.54,-0.28,0.05,-0.12,0.0,-0.0
10.53,-0.27,0.1,-0.12,0.0,-0.01
10.5,-0.26,0.09,-0.12,-0.0,-0.02
10.59,-0.29,0.02,-0.12,-0.01,-0.02
10.54,-0.44,-0.24,-0.15,0.02,-0.01
10.7,-0.6,-0.14,-0.17,0.08,-0.0
10.1,-0.4,-0.57,-0.19,-0.0,0.0
10.34,-0.39,-0.82,-0.06,-0.01,-0.02
10.19,-0.54,-0.39,-0.1,0.14,-0.03
10.55,-0.3,-0.4,-0.1,0.17,-0.03
10.28,-0.05,-0.45,0.02,0.11,-0.07
10.36,-0.12,-0.65,0.1,0.04,-0.09
10.0,0.12,-0.75,0.21,0.09,-0.15
9.95,-0.24,-0.74,0.25,0.14,-0.2
9.88,0.12,-0.76,0.29,0.12,-0.25
9.05,0.23,-0.07,0.35,0.16,-0.3
8.58,0.41,-0.22,0.48,0.19,-0.35
7.44,1.23,0.24,0.87,0.29,-0.34
7.3,1.58,0.12,1.61,0.6,-0.31
8.78,0.42,-0.28,1.59,0.43,-0.34
9.44,1.39,1.95,1.78,0.41,-0.29
6.69,-2.98,2.65,0.97,0.31,-0.36
6.46,-0.66,0.99,0.74,0.6,-0.24
7.55,-1.73,3.87,0.48,0.99,-0.97
9.96,-0.97,6.73,0.22,1.38,-1.18
10.8,2.31,7.33,0.46,1.71,-1.65
33.73,2.4,1.8,-1.42,4.37,1.01
15.54,8.48,0.28,1.59,1.46,-3.64
9.93,2.21,-1.96,0.12,4.37,-1.36
9.32,-6.37,-2.4,-0.41,3.31,-1.84
5.59,7.56,7.7,-0.35,2.45,-0.81
0.25,2.53,8.5,2.16,0.17,-1.26
1.8,7.75,11.19,3.69,-0.47,0.79
3.35,10.82,6.44,4.37,-1.11,1.02
-3.15,12.67,6.29,4.37,-1.2,0.01
-0.23,11.74,-0.34,4.37,-1.46,-0.28
15.99,14.77,1.13,0.65,-4.37,-3.07
-4.72,2.29,-4.12,0.94,-2.23,-0.84
-9.49,11.08,-2.45,2.81,0.97,-0.54
-1.01,3.55,-9.17,2.98,-0.06,-0.68
-2.84,7.21,-7.26,2.56,-0.44,-0.31
-3.35,2.21,-7.1,2.44,-0.59,0.13
-1.53,3.09,-7.37,2.27,-0.29,0.35
-4.09,2.49,-7.78,2.01,-0.49,-0.1
-1.93,0.96,-8.07,1.83,0.29,0.23
-1.32,1.21,-7.76,1.85,-0.27,-0.01
-1.77,0.96,-10.69,0.98,0.34,-0.23
0.57,-1.0,-8.98,0.66,0.63,-0.29
0.47,-0.76,-9.06,0.85,0.01,-0.37
0.07,-0.96,-9.32,0.91,0.13,-0.36
-0.02,-3.18,-9.42,0.43,0.32,-0.43
-0.87,-3.35,-8.79,0.34,0.08,-0.33
-0.74,-2.53,-8.15,-0.15,0.28,-0.14
0.15,-1.57,-8.99,-0.4,-0.19,-0.12
-0.46,-1.45,-9.42,-0.3,-0.07,-0.04
-0.62,-1.7,-8.98,-0.33,0.06,0.01
-0.45,-1.11,-9.09,-0.44,0.1,0.05
