Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.26,1.47,1.93,0.05,0.29,-0.04
10.46,0.93,1.86,-0.06,0.11,-0.02
9.94,1.28,2.6,-0.12,0.12,-0.06
11.03,1.78,2.54,-0.02,0.26,-0.1
10.75,2.16,1.48,0.24,-0.15,-0.05
10.33,1.87,1.74,0.48,0.03,0.09
9.35,0.23,1.88,0.27,0.05,-0.11
8.81,1.72,1.8,0.34,-0.07,0.0
10.06,1.14,2.9,0.25,0.31,0.0
7.79,2.65,2.13,1.05,1.11,-0.0
7.18,2.24,3.31,2.2,0.19,0.43
4.45,-0.76,1.64,2.88,-0.69,-0.1
3.35,-3.55,-3.98,2.39,-0.48,0.76
8.94,7.53,-0.9,0.93,0.01,0.53
12.14,-7.13,2.87,0.46,-0.46,0.33
18.1,5.51,-2.89,-0.2,-0.17,-0.52
11.31,-3.07,-2.16,-0.21,-1.01,-0.48
9.09,-0.36,-2.39,-0.2,1.03,-0.5
8.77,0.9,-0.22,0.6,-0.14,-1.01
6.72,-0.03,2.25,0.59,1.49,-0.97
5.57,0.41,3.59,1.02,1.07,-1.59
4.68,-0.92,6.44,1.41,2.12,-1.8
16.59,7.66,25.83,-1.16,3.06,-1.37
25.89,14.38,0.85,1.43,2.93,-2.51
-8.36,-10.67,-4.86,-1.31,3.71,-3.52
19.28,10.77,-3.78,1.49,3.66,-2.7
3.85,2.33,5.06,2.14,-0.45,-2.15
-1.89,20.46,8.0,3.42,-2.26,-0.29
4.45,12.53,2.86,4.37,-0.14,-0.7
-1.51,66.33,-11.17,2.8,2.24,-4.37
-1.38,-11.54,9.76,-1.55,-1.17,2.23
-6.75,7.07,5.53,-1.65,1.1,0.81
-2.89,6.17,-3.74,-0.07,0.66,-1.44
1.03,19.87,-4.22,2.63,0.2,-1.64
-8.2,4.06,-7.23,0.22,-0.26,-0.34
2.67,8.49,1.6,-2.15,-0.08,-0.2
-3.52,9.37,-3.21,-0.2,-0.51,-0.15
-1.24,8.87,-2.28,-0.8,-0.11,0.01
-2.18,10.24,-2.59,-1.05,-0.55,0.01
-1.29,8.86,-0.07,-1.04,-0.25,0.3
0.58,9.94,0.57,-1.33,-0.09,0.76
0.45,10.94,0.14,-1.05,-0.34,0.92
3.07,11.87,4.19,-0.47,-0.03,0.92
0.2,9.33,0.68,0.36,-0.55,0.52
3.7,8.82,2.31,0.79,-0.22,0.29
0.07,6.5,4.36,0.03,0.13,-0.16
4.46,11.18,6.0,-0.7,0.61,0.51
1.5,9.56,3.34,0.24,1.04,0.12
3.64,10.31,0.91,0.2,0.95,0.04
4.61,7.31,1.17,0.49,0.66,-0.21
2.89,9.75,0.94,0.56,-0.43,-0.26
0.55,10.33,2.53,0.27,-0.05,-0.26
4.23,8.48,-0.31,0.1,0.34,-0.71
2.15,10.47,0.7,0.48,-1.08,-0.29
-0.4,9.9,0.25,0.34,-0.56,-0.16
0.74,8.93,-1.16,-0.15,0.01,-0.12
1.48,9.65,0.12,-0.05,-0.29,0.0
0.31,9.65,0.12,-0.18,-0.0,-0.01
1.69,9.55,0.23,-0.12,0.13,0.02
1.59,9.62,0.39,-0.29,0.1,0.03
