Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
8.71,-3.74,-2.27,-0.62,0.73,-0.04
8.75,-3.61,-2.22,-0.78,0.69,0.02
8.85,-2.55,-2.34,-0.67,0.63,0.04
8.71,-2.3,-2.0,-0.56,0.48,-0.02
10.77,-3.19,-2.33,-0.56,0.84,0.21
15.4,-1.65,-2.03,0.01,1.17,0.32
15.33,-1.52,-1.17,0.73,-0.59,-0.38
8.8,-0.72,3.49,0.84,-0.89,0.18
3.41,-4.62,2.5,1.18,0.04,-0.11
8.38,-3.27,0.29,1.32,0.63,-0.09
8.22,-2.33,0.33,0.89,-0.44,0.01
6.19,-3.56,-0.84,0.79,-0.0,0.06
9.06,-4.68,-1.41,0.43,0.18,-0.02
9.38,-5.35,-0.73,-0.15,0.35,0.65
9.93,-5.08,0.08,0.1,0.76,0.51
8.3,-3.1,-1.45,0.37,0.06,0.27
7.19,-2.43,0.68,1.11,0.52,-0.04
8.57,-7.03,5.72,1.08,1.12,-0.14
9.25,-3.74,11.17,0.15,2.33,0.1
9.41,-0.29,9.56,1.61,2.51,-0.23
7.81,-1.69,8.27,0.34,2.67,-0.35
5.91,-4.16,4.77,1.91,1.11,-0.31
9.17,-2.61,10.12,2.56,0.7,-0.02
7.97,0.22,5.04,3.21,-0.43,0.33
5.63,-1.23,6.42,4.37,-0.63,-0.45
7.71,5.36,8.46,3.59,-0.43,-0.41
4.11,3.34,6.69,2.48,-0.64,-0.03
9.14,16.95,14.89,1.94,1.68,0.75
6.06,3.98,7.68,4.37,-2.84,0.49
16.98,35.62,14.57,2.13,-3.17,-2.04
6.15,1.81,-2.84,3.84,-1.64,-2.13
4.02,9.76,1.27,3.81,-2.43,-3.34
4.48,10.41,-3.3,2.35,-1.93,-2.31
2.1,9.99,-3.63,1.75,-1.65,-1.23
-2.14,8.11,-6.51,1.68,-1.19,0.01
2.03,6.22,-6.11,1.7,-0.84,-0.64
-1.07,3.6,-8.91,1.64,-1.46,-0.23
0.83,6.28,-8.29,1.05,-1.16,-0.39
0.91,4.54,-6.41,0.86,-1.17,-0.17
-0.54,4.81,-7.98,0.65,-0.54,-0.06
-0.2,4.26,-7.63,0.62,-0.79,-0.21
-0.14,4.48,-7.27,0.59,-0.37,-0.25
-0.84,3.66,-8.96,0.31,-0.36,-0.04
-0.91,3.99,-7.7,0.33,-0.22,-0.23
-0.57,3.57,-7.74,0.07,-0.04,-0.19
-1.28,3.66,-9.43,-0.08,-0.12,-0.11
-0.67,3.2,-7.42,-0.09,-0.21,-0.07
-2.04,3.36,-8.58,-0.28,-0.02,0.17
-1.0,4.58,-8.1,0.01,-0.08,0.12
-0.53,3.79,-7.68,-0.01,0.1,0.08
-1.49,3.72,-8.77,-0.29,0.19,0.15
-1.12,3.19,-7.92,-0.32,0.18,0.38
-1.85,4.71,-7.52,-0.45,0.56,0.61
-0.52,4.79,-7.84,-0.55,0.65,0.87
0.38,5.52,-7.77,-0.16,1.08,1.05
1.23,5.42,-8.84,-0.14,0.76,1.15
2.32,5.15,-7.49,0.14,1.14,1.06
1.87,6.04,-7.91,0.38,1.12,0.68
3.13,4.97,-7.68,1.04,1.25,0.22
4.22,2.55,-7.07,1.08,1.43,0.0
