Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.35,-0.93,0.72,-0.13,0.09,-0.02
10.25,-0.9,0.6,-0.12,0.06,-0.01
10.39,-0.92,0.49,-0.15,0.05,-0.05
10.44,-0.78,0.42,-0.1,0.07,-0.04
11.43,-0.52,-0.32,0.02,0.01,0.01
10.2,-0.71,-0.38,0.11,-0.03,-0.05
9.99,-0.54,-0.79,0.28,0.05,-0.09
9.84,-0.83,-0.32,0.27,0.09,-0.17
10.32,-0.71,-0.25,0.28,0.24,-0.2
10.33,-0.25,-0.24,0.38,0.15,-0.2
9.91,-0.21,-0.41,0.53,0.08,-0.24
9.62,-0.09,-0.53,0.71,0.08,-0.34
9.38,0.22,-0.54,0.96,0.14,-0.43
8.8,0.51,0.34,1.29,0.4,-0.55
8.3,0.75,-0.13,1.65,0.45,-0.55
8.53,0.95,0.53,1.86,0.67,-0.63
7.74,-0.25,1.71,2.4,0.51,-0.14
10.3,1.95,3.11,2.59,0.91,-0.26
11.68,-1.17,7.17,2.3,0.41,-1.98
-0.46,-6.21,3.4,1.58,-1.06,-1.19
6.72,2.01,7.94,1.99,1.81,-0.57
4.72,-3.03,1.82,2.29,1.03,-0.61
15.83,12.1,22.94,-1.68,4.37,-1.45
38.06,11.66,7.39,1.93,4.12,-3.0
-6.07,-11.82,-12.42,0.62,0.33,-2.87
13.55,5.86,-3.05,1.69,3.88,-2.98
7.9,7.46,3.97,1.44,-1.72,-1.19
0.74,19.21,9.6,3.46,-3.51,0.36
1.91,11.43,3.83,4.37,-2.19,-0.83
14.48,51.14,-13.24,1.76,-3.0,-4.37
1.09,-4.33,7.72,-3.75,-2.32,0.39
-5.9,14.04,4.62,-0.53,0.3,-1.49
-2.64,12.46,-3.36,0.49,-0.27,-0.8
-4.39,5.18,-8.34,1.79,1.55,-1.72
1.65,8.84,-2.21,-0.53,-0.53,-0.39
-6.88,10.47,-5.05,-0.75,-0.01,-0.29
1.17,6.17,-4.59,-0.97,-0.11,0.2
-4.43,8.72,-4.73,-1.25,-0.68,-0.04
-1.18,9.96,-3.57,-0.79,-0.42,-0.03
-0.19,7.82,-1.76,-1.58,-1.29,0.3
-0.43,6.71,-0.12,-1.02,-0.61,-0.12
-4.16,16.11,2.49,-0.22,0.28,-0.18
1.96,10.45,2.7,-0.45,0.38,0.35
1.2,8.51,2.34,0.22,0.68,0.52
0.24,9.84,1.95,0.23,0.64,-0.09
1.47,9.76,0.83,0.28,0.47,-0.31
0.58,10.28,0.89,0.36,0.31,-0.26
1.02,9.21,-0.92,0.09,-0.08,-0.16
0.21,9.14,-0.27,0.05,-0.24,0.17
-0.24,9.93,-0.08,0.09,0.05,0.18
0.41,9.5,0.29,-0.03,0.28,0.15
1.05,9.7,0.37,0.13,0.14,0.07
0.46,9.75,0.14,0.22,-0.03,0.16
0.31,9.66,-0.19,0.31,0.17,0.17
0.98,9.35,-0.65,0.27,0.19,0.15
1.53,9.04,-1.05,0.35,0.01,0.04
1.03,9.26,-1.25,0.38,-0.25,0.07
-0.23,9.68,-1.73,0.11,-0.25,0.24
-0.39,9.73,-1.31,-0.2,0.51,0.45
2.36,10.51,-1.47,0.33,0.28,0.32
