Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
17.74,-1.11,8.33,-0.04,0.0,0.96
6.23,-2.89,7.35,-0.25,-0.64,0.36
11.82,-1.16,2.63,0.59,0.82,0.17
10.86,-2.76,3.1,0.27,-0.28,-0.16
6.23,-2.05,1.45,0.48,-0.08,-0.45
7.0,-0.89,1.36,0.4,0.35,-0.39
6.78,-1.19,2.38,0.25,0.21,-0.23
8.83,-1.73,2.07,-0.01,0.51,-0.13
13.04,-2.37,1.7,-0.28,-0.2,0.15
8.92,-0.85,0.27,-0.04,-0.22,0.01
15.94,-0.55,4.08,0.73,1.25,-0.31
13.64,-0.51,12.25,0.95,0.54,-0.04
15.24,1.2,10.15,1.53,2.2,-0.84
9.48,-1.47,0.17,2.43,1.39,0.48
-1.83,-2.15,-0.49,0.63,-0.51,1.1
-0.88,-4.69,5.67,1.69,1.05,-0.49
1.37,6.65,3.18,0.45,1.0,0.02
5.15,-5.45,5.73,1.54,1.42,-0.08
0.32,0.3,9.95,-0.25,-0.31,0.49
9.23,5.31,19.08,1.27,2.4,0.41
11.36,1.94,9.18,-0.05,0.6,-0.58
9.22,-1.66,9.23,-0.28,1.47,-0.01
7.3,-1.7,7.86,0.88,0.96,-0.24
5.36,-0.1,6.85,2.17,-0.29,-0.36
5.45,5.77,7.56,2.67,-0.34,0.89
1.36,0.05,7.79,2.6,-2.23,0.74
8.63,14.17,7.58,2.5,-1.85,3.23
10.12,16.73,9.78,1.3,-1.87,1.64
6.82,8.3,1.7,2.7,-2.33,-0.6
30.84,39.04,16.17,3.95,-1.84,-2.75
0.95,-4.02,-4.96,2.63,-0.23,-2.48
9.82,3.21,5.28,1.35,-1.07,-1.65
4.76,5.73,-6.48,1.15,-0.18,-2.46
4.96,13.45,0.25,1.08,-1.16,-1.53
3.11,6.33,-2.11,0.65,0.03,-0.21
1.63,9.2,-2.8,0.86,-0.86,-0.59
3.66,9.33,-4.27,0.87,-0.68,-0.46
2.16,8.43,-4.67,0.05,-0.34,-0.15
4.65,7.52,-2.64,0.02,-0.04,-0.06
3.04,7.58,-4.68,-0.41,-0.01,0.35
5.91,8.16,-2.26,-0.75,0.14,0.5
3.71,7.59,-2.11,-0.76,0.24,0.39
5.94,8.81,-1.37,-0.58,0.5,0.37
6.68,6.81,-0.44,-0.66,0.35,0.27
6.01,8.13,-1.11,-0.73,-0.25,0.18
6.96,5.27,-0.09,-0.84,0.47,0.51
5.61,9.88,-0.76,-0.43,0.66,-0.07
6.12,8.54,-0.17,0.01,0.19,-0.3
5.42,7.46,0.3,-0.08,0.07,0.11
6.0,8.09,0.16,-0.22,0.07,0.29
5.91,8.44,-0.05,-0.21,0.15,0.01
5.69,8.59,-0.24,0.15,-0.01,-0.14
6.14,7.28,-0.79,0.07,-0.09,-0.09
5.78,7.56,-0.84,-0.21,-0.08,0.02
5.93,8.32,-0.24,-0.25,-0.08,0.01
5.89,8.37,-0.0,-0.09,0.04,-0.04
6.0,7.99,-0.45,-0.01,-0.06,-0.08
5.84,7.93,-0.66,-0.1,-0.04,-0.03
5.56,8.13,-0.51,-0.17,-0.01,-0.03
5.71,8.28,-0.4,-0.15,0.01,0.0
