Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.68,-0.99,2.24,-0.18,0.04,-0.1
9.3,-0.17,1.67,0.06,0.05,-0.2
10.22,-0.48,1.04,0.53,0.29,-0.22
10.39,-0.76,-0.21,0.99,0.29,-0.06
10.88,-2.29,1.34,0.65,0.13,-0.1
9.35,0.08,0.77,0.83,-0.08,-0.09
8.84,-0.04,1.0,1.13,0.03,-0.06
8.6,-0.32,0.51,1.15,-0.23,0.11
7.18,-0.21,1.23,0.99,0.0,-0.09
7.69,-2.17,0.87,0.62,-0.05,-0.16
8.93,1.14,0.5,0.88,-0.05,-0.06
10.35,1.12,0.62,0.9,-0.25,0.1
7.44,-0.18,3.03,1.06,-0.31,0.0
4.57,-0.96,2.23,1.65,0.37,-0.42
11.41,-0.17,5.77,2.51,1.88,-0.71
12.05,-0.66,10.14,1.4,0.56,-1.26
4.55,1.41,2.06,2.7,1.2,-1.28
13.74,17.84,18.38,0.47,4.37,-4.37
25.61,5.11,15.58,0.38,2.3,-2.47
2.22,8.01,-1.7,0.84,2.96,-2.79
14.94,-0.49,4.77,0.67,2.11,-2.79
5.21,2.66,3.84,-0.14,0.7,-2.11
4.84,8.83,4.88,0.37,1.14,-1.96
2.32,2.76,7.54,1.8,0.03,-1.21
-3.95,7.06,2.81,2.81,0.8,-1.12
0.25,11.59,-1.98,2.16,0.86,2.41
-0.34,14.64,-1.1,2.23,-0.57,1.23
1.19,11.06,-5.17,4.37,-0.12,1.44
3.3,13.35,0.43,3.8,-0.62,2.04
8.77,31.19,-22.92,4.29,-4.35,-1.8
0.94,-11.6,-2.87,-2.49,-0.99,1.37
0.82,11.96,-4.87,0.39,-1.21,0.04
-0.07,4.09,-5.23,0.28,-1.02,-0.71
2.58,10.96,-5.05,2.23,-1.19,-0.1
-6.76,5.72,-13.75,2.09,-1.21,0.7
2.12,0.78,-6.56,1.12,-0.04,0.18
0.71,6.54,-8.16,0.67,-0.52,0.38
0.55,5.88,-7.56,0.38,-0.3,0.56
1.1,3.61,-7.72,0.48,0.5,0.3
2.75,4.13,-7.34,0.27,0.17,0.26
2.17,4.58,-8.09,0.14,0.06,0.26
2.06,4.37,-7.5,-0.13,0.2,0.14
1.47,5.22,-7.54,0.0,0.14,-0.15
2.39,5.68,-7.95,0.49,0.08,0.16
2.08,4.67,-7.76,0.66,-0.27,0.28
2.31,4.66,-8.3,0.36,0.08,0.08
3.02,5.44,-7.34,0.73,0.1,0.01
2.7,3.16,-8.4,0.77,-0.13,0.11
2.16,1.82,-8.71,0.52,-0.07,0.07
2.29,2.11,-8.38,0.46,-0.24,-0.01
1.77,2.09,-8.97,0.34,0.03,-0.02
1.96,1.36,-8.78,0.21,0.06,0.03
1.93,1.84,-8.98,0.19,-0.0,0.04
2.07,2.03,-8.82,0.15,0.07,0.0
2.93,1.95,-9.33,0.02,-0.25,0.21
2.54,0.45,-7.54,-1.37,-2.0,0.78
-1.07,2.93,-9.26,0.05,-0.49,0.19
1.34,1.49,-9.05,0.15,0.33,-0.14
1.4,1.16,-9.83,0.14,0.45,-0.2
2.06,1.66,-8.52,-0.02,-0.33,0.01
