Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
12.1,-0.05,0.75,-0.31,-0.07,0.14
13.69,0.79,0.74,-0.58,-0.17,-0.07
12.39,1.64,-0.45,-0.15,-0.23,-0.53
11.59,-2.1,5.53,-0.11,1.16,-0.32
8.85,-2.11,5.42,0.0,0.43,-0.18
11.75,-0.4,3.47,0.19,-0.23,0.25
8.89,-0.63,2.74,0.03,-0.5,0.37
6.57,-1.84,1.64,-0.15,-0.02,0.49
9.39,-1.57,1.92,-0.37,0.22,0.33
9.53,-1.27,1.54,-0.46,-0.08,0.12
10.27,-0.85,0.63,-0.37,-0.05,-0.01
10.92,-0.61,0.85,-0.02,-0.02,-0.02
14.01,-2.09,-0.18,0.08,0.07,0.28
13.35,0.2,-0.78,0.05,-0.53,0.16
8.96,-1.57,3.71,-0.39,1.26,0.86
8.02,-4.43,3.63,-0.29,0.6,0.38
11.81,-2.83,3.97,-0.96,0.4,-0.15
6.96,-2.76,1.21,-0.54,0.2,-0.77
5.9,0.35,1.89,0.27,0.54,-0.7
5.94,0.16,1.25,1.11,0.26,-0.38
5.13,1.53,3.44,1.51,-0.32,-0.64
3.06,-1.04,4.2,1.53,1.0,-0.23
9.07,-1.43,1.44,0.39,1.06,-0.53
8.33,-9.18,2.1,-2.4,0.65,-0.42
8.83,7.27,8.91,-3.23,1.35,0.16
15.89,-7.4,12.82,-1.32,2.62,-0.42
2.87,2.23,9.92,-0.12,4.37,1.82
8.77,-2.69,7.14,0.04,3.36,2.17
7.76,-3.08,8.75,0.65,1.66,1.01
7.7,-6.09,20.87,-1.88,-0.53,0.66
-0.05,-4.7,14.16,-1.73,-1.58,-0.77
4.64,-6.92,16.27,-2.35,-1.33,-1.21
2.79,-7.57,9.95,-0.66,-1.34,-0.77
3.27,-6.1,11.26,-1.02,0.3,-0.33
6.55,-6.85,9.31,-0.21,-0.14,-0.17
2.77,-4.2,7.98,-0.04,0.26,0.12
7.3,-7.03,8.16,0.32,-0.31,0.29
6.21,-4.21,7.46,0.5,-0.75,0.6
6.3,-5.08,5.94,0.75,-0.93,0.63
5.37,-2.04,7.94,0.69,-0.22,0.83
7.51,-5.21,8.89,0.12,-0.16,1.05
5.2,-5.48,7.44,-0.2,-0.19,0.66
6.53,-3.54,6.56,-0.7,-0.37,0.29
5.47,-4.45,7.27,-0.42,-0.31,0.04
6.09,-3.66,7.05,-0.08,-0.1,-0.18
6.49,-3.9,7.27,0.35,-0.06,-0.16
7.01,-4.78,7.56,0.29,-0.2,-0.29
7.29,-4.1,7.61,0.14,-0.23,-0.26
7.43,-4.22,7.93,-0.34,-0.23,-0.27
7.23,-4.23,7.57,-0.28,-0.19,-0.32
7.08,-3.9,7.22,-0.18,-0.01,-0.32
7.29,-3.52,6.9,-0.15,0.04,-0.25
7.83,-3.48,6.93,0.08,-0.18,-0.25
8.17,-3.47,7.09,0.18,-0.33,-0.23
8.27,-3.44,7.0,0.3,-0.39,-0.22
8.28,-3.3,7.18,0.33,-0.33,-0.19
8.25,-3.24,6.65,0.19,-0.17,-0.11
8.35,-2.88,6.75,0.03,-0.09,-0.04
8.34,-2.77,6.75,-0.0,-0.09,-0.03
8.14,-2.65,6.73,0.07,-0.07,-0.03
