Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
8.57,-0.26,3.79,-1.64,0.13,-0.24
10.24,0.55,5.33,-1.02,0.33,-0.75
10.41,-0.66,4.74,-1.34,0.32,-0.76
10.15,0.65,3.84,-1.26,0.33,-1.05
8.28,1.16,3.81,-0.9,-0.05,-0.91
8.88,0.23,2.27,-0.75,0.37,-0.79
9.76,-0.01,2.14,-0.43,0.08,-0.7
9.14,1.0,4.5,-0.25,0.62,-0.71
11.36,-0.95,4.48,-0.48,0.43,-0.07
13.23,1.17,4.17,-0.58,1.81,0.19
10.54,2.13,8.87,-0.44,0.77,0.02
1.95,2.55,3.28,0.2,0.47,0.59
8.27,-4.37,4.9,1.64,1.42,0.41
8.6,2.21,4.79,0.57,0.79,0.76
6.45,0.33,5.37,0.15,1.16,0.75
8.93,-2.83,7.25,-0.04,0.73,0.72
7.41,-0.96,6.38,-0.12,0.34,0.31
8.12,-1.01,6.94,-0.87,1.79,0.31
6.64,0.57,2.9,-0.24,0.74,0.82
0.29,-4.62,12.88,-1.15,3.02,-0.66
3.36,5.28,11.92,-4.11,3.71,-0.41
0.57,-3.67,10.99,-1.7,2.32,0.58
0.49,-2.77,9.79,-0.69,1.47,0.85
-0.21,-2.3,9.03,0.2,1.28,1.47
0.05,-2.25,9.69,1.09,0.77,1.7
0.22,-2.52,11.86,1.56,0.82,1.73
-1.64,-0.92,10.19,2.06,0.56,2.17
-5.24,-1.16,13.31,1.38,0.5,1.9
-4.55,0.62,10.98,2.09,0.15,1.84
-14.86,-1.71,14.93,0.74,1.4,0.36
-6.06,1.88,10.39,0.84,1.26,1.72
-7.27,0.7,8.95,0.91,1.4,1.04
-3.77,4.29,6.97,1.97,0.74,1.41
-2.64,3.63,6.14,3.11,-0.11,1.84
-1.74,5.69,5.36,3.58,-0.85,2.57
0.79,10.24,11.99,3.45,-0.81,3.02
3.13,3.72,6.29,4.37,-2.18,1.78
-0.67,10.06,-0.56,4.18,-0.72,1.45
1.93,6.14,-1.67,3.32,-1.0,2.28
2.2,9.67,-4.78,2.52,-0.22,1.3
2.82,11.61,-2.95,2.53,-0.53,1.39
2.65,8.0,-3.86,2.62,-0.54,1.16
4.41,5.4,-5.52,2.27,-0.36,0.72
3.44,4.07,-6.83,1.88,-0.27,0.65
4.18,4.2,-7.24,1.53,-0.17,0.44
4.11,4.07,-7.43,1.28,-0.15,0.59
3.9,3.72,-7.14,1.32,-0.15,0.61
4.58,3.14,-7.85,0.98,-0.02,0.62
3.72,2.53,-8.13,1.2,-0.18,0.86
3.75,1.77,-8.71,1.3,-0.16,1.0
3.63,-0.21,-8.45,1.08,-0.11,1.02
4.41,-0.64,-9.16,0.59,0.14,0.71
4.42,0.21,-8.18,0.3,0.12,0.56
4.26,-1.5,-8.64,0.29,-0.27,0.4
4.45,-1.32,-8.22,0.17,-0.2,0.36
4.05,-1.25,-8.15,-0.02,-0.19,0.26
3.73,-1.89,-8.23,-0.07,-0.3,-0.06
3.87,-1.31,-8.38,-0.23,-0.02,-0.22
3.54,-0.26,-8.54,-0.38,-0.15,-0.17
2.66,-1.48,-9.18,-0.46,0.11,-0.32
