Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.07,-0.78,-0.32,-0.14,-0.01,-0.08
11.24,-0.58,-1.1,-0.1,0.01,-0.09
10.24,-0.33,-0.76,0.02,-0.11,-0.14
9.77,-0.45,-1.07,0.14,0.18,-0.09
10.34,-0.11,-1.53,0.34,0.02,-0.14
9.84,-0.35,-1.36,0.32,0.03,-0.16
10.15,-0.18,-1.02,0.39,0.13,-0.19
10.01,-0.07,-1.41,0.48,0.11,-0.25
9.88,0.5,-0.97,0.66,0.15,-0.35
9.33,-0.38,-1.15,0.64,0.18,-0.37
9.2,0.76,-0.73,0.92,0.26,-0.45
8.89,0.62,-0.97,1.12,0.33,-0.49
8.28,0.8,0.28,1.3,0.33,-0.55
6.6,0.23,0.11,1.5,0.48,-0.71
7.84,2.39,0.32,2.25,0.96,-0.65
7.78,0.74,2.98,2.26,0.87,-0.55
4.75,-3.08,3.4,1.65,0.92,-0.42
6.72,-1.59,4.95,1.47,1.37,-0.44
9.11,-2.47,7.93,1.54,2.89,-0.88
12.62,0.89,-1.31,1.8,1.52,-1.14
8.01,10.74,24.29,-0.67,4.37,-1.93
36.86,11.54,4.49,1.34,4.03,1.07
3.4,-5.57,-8.39,1.49,3.56,-4.37
13.99,2.23,-0.7,0.26,3.09,-2.09
0.26,3.86,4.95,0.98,-0.77,-2.24
-3.24,5.22,6.17,2.37,0.27,-0.73
7.19,11.69,8.57,3.17,1.03,1.43
0.41,11.72,7.01,4.37,-1.88,0.91
1.91,6.79,1.38,4.37,-1.32,0.34
5.81,53.22,-5.03,3.22,-1.82,-4.37
-8.84,-3.09,-1.23,0.19,-2.05,0.82
-0.69,7.82,-2.23,0.59,1.3,-0.04
-0.64,8.59,-6.85,2.67,-2.36,-1.87
-4.1,10.94,-6.24,2.71,-0.03,-1.17
-1.76,2.75,-5.96,1.36,-0.96,-0.41
-3.76,3.03,-2.89,0.83,0.15,0.33
-3.24,6.17,-6.9,1.97,-0.57,-0.51
-1.19,4.18,-5.15,0.72,0.38,0.13
-1.81,5.17,-8.04,0.45,0.52,-0.16
-0.29,4.92,-6.87,0.3,0.49,-0.1
-0.16,5.34,-6.59,0.53,-0.08,-0.16
-0.66,4.59,-8.13,0.26,0.6,-0.23
0.19,5.17,-8.1,0.15,0.26,0.01
0.44,4.02,-8.03,-0.03,0.32,-0.05
-0.55,4.76,-8.23,-0.17,-0.03,-0.08
-0.21,5.06,-7.42,-0.11,0.29,-0.15
-0.46,5.59,-7.17,0.01,0.45,-0.01
0.4,4.62,-7.84,0.04,0.03,0.04
0.85,4.3,-7.52,0.01,0.1,0.01
0.66,4.53,-7.84,0.12,0.1,-0.02
0.47,4.56,-7.91,0.12,0.01,-0.09
0.65,4.42,-7.94,0.04,0.14,-0.08
0.04,4.33,-8.01,0.09,-0.02,-0.13
0.32,3.58,-8.43,0.13,-0.05,-0.09
-0.06,3.62,-8.27,-0.01,0.01,-0.05
0.07,3.56,-8.34,-0.1,0.02,-0.0
0.3,4.19,-8.15,-0.14,0.13,-0.02
0.22,3.49,-8.35,-0.14,-0.09,-0.04
0.13,4.28,-8.11,-0.13,0.14,-0.0
0.61,4.22,-8.16,-0.04,0.01,-0.0
