Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.73,0.55,3.78,-0.17,-0.14,0.03
9.87,0.37,3.75,-0.09,-0.12,0.05
9.69,0.57,4.18,0.01,-0.04,0.08
9.92,0.65,4.12,0.11,-0.17,0.12
9.39,-0.27,3.75,0.06,-0.15,0.08
9.72,0.41,3.67,0.0,-0.11,0.03
8.82,0.77,3.49,0.16,-0.21,0.17
9.31,-0.35,2.83,0.06,-0.02,0.24
8.96,-0.43,3.6,-0.19,-0.13,0.14
7.71,0.3,2.81,-0.29,0.02,0.01
7.81,1.71,3.17,-0.14,0.33,0.02
6.99,0.68,3.89,-0.05,0.33,0.01
8.67,0.34,1.94,-0.08,0.41,0.11
9.45,0.96,3.0,-0.1,0.66,0.08
11.12,0.84,2.29,-0.19,0.6,0.23
8.1,0.27,5.56,0.27,0.7,0.7
7.07,-0.53,5.14,0.81,1.32,0.93
6.05,-2.5,5.2,1.29,1.67,1.08
3.59,-0.42,10.2,1.8,2.24,1.19
21.27,3.39,29.38,4.37,4.37,0.85
-3.7,-5.68,3.36,4.37,1.24,2.68
-4.93,-4.13,14.47,2.77,4.37,-0.72
12.46,4.83,15.24,1.14,3.76,-0.89
6.79,5.43,4.28,2.81,1.8,-0.77
2.38,-2.14,3.34,3.0,3.45,-0.47
-1.13,5.49,3.9,2.53,2.48,-0.05
-4.89,6.71,4.3,3.22,-0.66,1.28
-0.79,9.56,2.56,3.07,1.25,2.3
-1.31,17.09,-5.6,4.13,-0.53,3.99
-2.61,52.32,6.46,4.37,-1.29,-2.95
-0.85,-16.44,-5.21,-1.8,-1.0,3.14
-3.66,12.97,-3.45,0.74,-0.08,0.68
4.91,6.41,-5.73,3.5,0.51,1.13
3.9,1.01,-12.99,3.85,0.87,0.53
2.63,5.61,-6.9,0.62,-0.34,0.82
2.12,0.67,-6.72,1.09,-0.46,0.92
2.97,3.79,-8.58,1.35,-0.21,0.91
3.11,3.53,-7.67,0.04,0.21,0.48
4.28,5.09,-7.98,0.09,-0.1,0.3
3.17,4.38,-7.15,0.23,0.08,0.3
3.31,4.07,-7.24,0.11,0.22,0.24
3.3,3.72,-8.04,-0.14,0.15,-0.04
3.96,4.58,-7.64,0.03,0.14,-0.1
3.46,3.74,-7.36,-0.03,0.15,-0.03
3.86,4.02,-7.71,-0.03,0.12,0.0
4.01,3.5,-8.01,0.15,0.22,0.01
4.53,3.96,-7.62,0.15,0.42,0.02
4.39,4.01,-7.25,-0.08,0.13,0.02
4.45,3.77,-7.21,-0.03,0.22,-0.05
4.54,4.4,-7.13,0.05,0.25,-0.02
4.71,3.37,-7.23,0.04,0.04,-0.01
4.15,3.62,-7.69,-0.06,0.28,0.0
5.3,3.42,-7.87,0.04,0.09,0.07
4.82,3.43,-6.9,-0.13,0.21,0.07
5.22,3.38,-7.49,-0.08,-0.07,0.07
4.59,3.51,-7.26,-0.07,0.06,0.05
4.57,3.3,-7.45,-0.34,0.23,0.03
5.26,3.84,-8.05,-0.36,0.12,0.07
5.06,3.95,-6.88,-0.43,0.24,0.07
5.09,4.42,-7.05,-0.04,-0.28,0.04
