Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.27,-0.01,-1.5,-0.2,0.01,0.01
10.33,-0.05,-1.55,-0.24,0.04,0.01
10.3,-0.02,-1.65,-0.28,0.01,-0.01
10.02,0.2,-1.95,-0.27,0.03,-0.0
10.29,0.38,-2.27,-0.22,0.03,0.03
9.95,0.22,-2.66,-0.16,-0.06,0.04
9.7,0.22,-2.79,-0.03,-0.09,0.01
9.77,0.15,-2.38,0.02,-0.06,-0.04
9.76,0.2,-2.08,0.03,-0.05,0.01
9.78,0.33,-2.57,-0.03,-0.01,0.05
9.9,0.35,-2.42,0.02,0.01,0.04
9.74,-0.54,-1.56,-0.14,0.0,0.02
9.28,-1.46,0.71,-0.73,0.29,-0.02
7.46,0.02,-0.14,-1.17,0.28,-0.27
8.9,1.69,-2.94,-0.4,0.93,-0.08
11.83,2.14,-0.61,-0.15,0.79,-0.05
8.51,-0.4,-2.81,-0.05,0.51,-0.11
11.79,1.58,-2.4,0.43,0.86,-0.23
9.21,-0.18,-3.21,0.56,-0.24,-0.15
8.19,0.97,-1.83,0.88,0.04,-0.34
10.28,0.67,-0.88,1.32,0.15,-0.39
11.16,-0.63,-0.96,1.39,-0.08,-0.2
8.79,-1.82,-2.11,1.18,-0.58,-0.21
8.61,-0.57,-1.75,0.88,0.38,-0.31
9.97,-1.84,-1.13,0.87,0.11,-0.38
7.28,-0.55,-1.35,0.92,0.43,-0.57
5.41,-0.61,1.73,0.95,1.17,-0.78
5.87,0.19,0.94,1.22,1.67,-1.22
5.48,0.41,0.96,1.18,1.44,-1.87
25.42,4.55,35.18,-4.01,4.37,-0.8
22.82,20.55,-6.14,-0.36,-0.46,-4.16
1.58,-1.64,0.14,-0.91,4.04,-2.34
6.93,4.21,0.69,-0.07,3.65,-2.19
6.17,7.22,5.32,1.51,3.67,-2.4
5.14,-0.36,8.27,1.19,2.57,-2.21
-4.22,4.71,9.55,0.39,1.13,-1.77
1.54,11.37,12.3,1.44,-0.43,0.29
-4.0,9.45,10.37,1.28,-0.29,-0.45
-0.6,9.89,4.8,2.22,0.43,-0.2
-5.21,9.13,7.34,2.73,0.16,-0.69
-12.33,16.47,7.37,2.36,-0.29,-1.87
1.84,12.87,-1.08,-1.06,1.56,2.77
-6.37,8.05,-0.18,-0.33,0.01,0.93
-0.27,3.45,0.51,1.71,0.98,-0.29
-2.4,10.57,6.1,0.74,-0.44,-0.26
-3.41,9.21,2.33,-0.17,-0.52,0.43
-2.24,7.69,0.59,-0.1,-0.18,0.51
3.04,8.82,3.41,-0.11,0.16,0.33
-0.85,10.46,3.84,-0.15,-0.54,0.16
1.62,8.19,2.58,-0.65,0.34,-0.01
1.34,10.81,2.74,-0.24,-0.27,-0.11
0.17,9.28,3.38,0.06,0.54,-0.11
1.3,9.77,3.47,-0.09,0.17,-0.12
0.48,9.78,3.28,-0.2,-0.07,-0.08
0.16,8.39,3.18,-0.19,-0.03,0.08
0.71,9.09,3.0,-0.15,-0.06,-0.23
0.25,9.75,2.46,-0.17,-0.34,-0.11
0.72,8.89,2.3,-0.4,-0.49,0.01
-0.43,8.98,2.27,-0.9,-0.85,0.05
-0.38,7.06,2.88,-1.49,-0.53,0.35
