Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
8.85,-2.4,-4.53,-0.52,0.61,-0.26
8.57,-0.11,-4.4,-0.56,0.58,-0.3
7.94,-0.64,-4.13,-0.36,0.48,-0.38
7.91,-1.64,-4.74,-0.09,0.46,-0.17
8.26,-0.93,-4.81,0.14,0.29,-0.1
7.74,-1.87,-4.29,0.39,0.16,0.01
8.92,-2.32,-5.02,0.25,0.2,0.08
11.82,0.26,-6.48,0.26,0.09,0.2
11.96,0.64,-4.09,0.37,-0.19,-0.2
8.34,-0.01,-1.14,0.61,0.06,-0.09
8.56,-2.05,-1.81,0.7,0.04,-0.31
8.34,-1.89,-2.63,0.5,-0.02,-0.03
7.32,-1.28,-2.56,0.64,-0.1,-0.01
7.68,-2.22,-2.44,1.04,-0.27,-0.19
8.97,-1.72,-4.21,1.49,-0.14,-0.52
6.97,-2.66,-2.12,1.32,-0.75,-0.54
5.52,-2.16,-2.4,1.26,-0.14,-0.47
5.59,-2.6,-2.13,1.12,-0.08,-0.3
9.06,-2.46,-0.63,9.5,0.04,0.02
11.22,1.08,1.3,1.29,0.84,0.52
11.63,-1.73,-2.15,1.07,0.3,-0.76
11.36,1.69,-0.67,0.91,0.37,-1.11
8.97,-3.29,-0.23,0.71,-0.21,-1.55
13.75,-0.84,-1.0,0.11,-0.21,-0.95
15.36,-4.84,-4.49,0.32,0.24,-0.77
14.37,-0.42,-2.89,0.4,0.66,-1.75
9.92,-0.67,2.92,1.33,1.19,-3.4
12.91,9.16,1.92,1.53,3.48,-0.84
7.21,0.65,-0.41,2.19,-0.13,-2.52
26.99,11.15,2.82,2.41,-0.82,-1.49
-2.73,-9.16,-8.15,1.91,0.52,-4.37
4.15,15.17,-4.45,1.33,-1.44,-4.37
0.89,7.39,-2.59,0.78,-1.42,-3.87
2.24,8.43,-3.61,1.12,-1.16,-3.75
-2.64,6.96,-4.11,0.22,-1.38,-2.87
-2.13,12.23,-2.46,0.69,-0.96,-2.15
-3.04,4.48,-3.7,1.12,-0.05,-1.22
-2.51,7.53,-4.13,0.68,-1.0,-1.39
-3.07,5.96,-5.1,0.62,-0.75,-1.18
-3.92,7.07,-4.66,0.55,-0.5,-0.73
-3.61,5.49,-5.24,0.25,-0.68,-1.06
-4.77,5.75,-4.28,0.18,-0.31,-0.8
-5.88,4.98,-5.37,0.18,-0.3,-0.79
-5.36,4.97,-4.53,0.11,-0.39,-0.5
-4.2,4.14,-4.8,0.04,-0.24,-0.4
-7.38,4.66,-4.87,0.03,-0.06,-0.11
-5.25,4.0,-4.6,-0.1,0.06,-0.17
-6.85,4.13,-3.62,-0.27,0.37,0.01
-5.02,4.79,-4.69,-0.09,0.41,0.0
-6.17,4.96,-4.66,-0.11,0.66,0.1
-4.96,4.58,-4.42,-0.13,0.67,0.26
-5.08,5.24,-6.32,-0.07,0.97,0.6
-4.79,4.36,-7.43,-0.49,0.54,0.95
-3.11,4.62,-5.74,-0.43,0.57,1.2
-2.25,5.67,-5.83,-0.5,0.05,1.31
-1.57,7.36,-6.15,-0.36,0.42,1.22
0.42,7.43,-5.6,-0.17,0.25,1.03
-0.53,8.93,-5.29,0.06,0.42,0.47
0.37,6.75,-6.96,-0.06,0.27,0.21
-0.94,6.96,-6.53,0.26,0.47,0.29
