Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
8.1,1.65,5.59,-0.1,-0.43,0.44
11.51,-7.67,1.33,0.74,0.51,0.12
9.13,-3.78,0.3,-0.3,-0.37,-0.49
4.15,-1.18,0.39,-0.08,-0.01,-0.57
7.74,-1.63,-0.1,0.4,0.87,-0.33
8.8,-2.2,0.84,0.07,0.24,-0.05
10.02,-4.17,-0.02,0.01,0.48,0.07
10.17,-3.15,-1.56,-0.11,0.02,-0.07
9.95,-1.77,0.77,1.02,1.69,-0.44
13.5,-0.2,3.88,1.88,1.19,-0.48
9.27,-3.61,5.94,1.33,0.74,-0.79
15.52,-1.51,6.46,1.77,2.81,-1.12
13.61,-1.66,0.3,2.46,0.33,0.21
-3.72,-7.67,3.62,0.37,0.66,0.15
3.94,0.7,0.61,0.58,0.64,0.69
-1.01,-0.08,1.35,0.31,1.23,0.6
9.48,0.47,0.71,1.36,0.31,0.04
1.65,-5.7,10.78,0.31,2.27,-0.33
17.81,1.07,13.69,2.54,0.22,-0.92
10.51,-6.29,6.53,0.3,2.07,-0.63
6.74,-4.07,2.88,0.2,0.35,0.23
12.28,11.02,11.27,0.65,-2.24,0.81
2.47,3.58,13.24,1.3,-2.34,1.33
13.81,5.67,5.99,1.61,-0.81,1.77
4.93,4.13,9.16,2.34,-1.64,0.17
8.64,7.8,9.89,2.45,0.16,-0.37
12.76,11.09,8.95,1.55,-0.38,-1.3
9.69,5.38,3.44,2.02,-0.69,-1.75
2.78,2.58,3.88,2.14,-1.62,-1.36
31.21,23.66,2.66,3.57,-2.79,-2.58
6.69,6.99,-1.86,1.29,-0.15,-2.17
5.94,4.93,-4.99,1.09,-1.15,-1.71
6.33,7.5,-3.99,0.7,-0.88,-1.39
1.72,9.25,-3.0,-0.15,-0.07,-0.78
5.52,9.24,-0.08,0.36,-0.68,-0.7
4.6,7.71,-0.56,0.12,-0.14,-0.43
3.39,8.77,-2.87,-0.36,-0.28,-0.19
5.31,9.12,-0.7,0.06,-0.02,-0.06
5.39,7.02,-1.81,-0.15,0.13,-0.11
4.64,8.54,-2.18,-0.18,-0.12,0.04
5.92,7.83,-0.43,-0.14,0.1,0.0
4.84,8.96,-1.52,-0.25,-0.09,0.23
5.7,7.96,-1.19,-0.13,0.0,0.09
5.02,7.96,-1.71,-0.35,-0.05,0.19
5.94,8.62,-1.08,-0.04,-0.22,0.08
5.94,7.12,-0.82,-0.31,-0.03,0.06
5.58,8.32,-1.02,-0.11,-0.16,0.07
6.26,7.52,-1.06,-0.12,-0.1,0.07
5.62,7.98,-1.62,-0.29,-0.02,0.18
5.98,8.0,-1.19,-0.17,-0.05,0.13
5.44,7.95,-1.67,-0.32,0.02,0.09
6.31,8.14,-1.05,-0.07,-0.08,-0.06
5.32,7.63,-1.31,-0.08,0.01,-0.21
7.03,7.4,-0.13,0.32,-0.19,-0.07
5.9,7.12,-1.25,-0.33,0.19,0.38
4.46,8.19,-2.7,-0.6,-0.02,0.44
7.02,10.2,-0.9,-0.13,0.06,0.04
5.07,5.4,-1.79,0.15,0.19,-0.68
5.53,8.2,-1.72,-0.67,0.09,0.23
5.92,8.33,0.29,-0.28,-0.11,0.29
