Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
13.07,-3.88,5.01,-1.04,-0.18,1.0
4.41,-1.88,4.0,-0.04,0.09,-0.34
13.1,-0.18,2.94,0.69,1.01,0.53
10.73,-4.33,1.23,-0.38,-0.26,-0.81
7.17,-0.64,0.86,-0.16,-0.05,-0.7
8.8,0.23,1.58,-0.01,0.16,-0.43
10.09,1.22,1.18,0.22,-0.06,-0.38
11.98,-0.63,-0.34,-0.18,-0.28,0.05
10.3,-0.11,-0.06,-0.41,-0.61,-0.25
10.7,1.47,1.23,-0.19,0.26,-0.18
13.82,-6.14,5.42,-0.67,1.52,-0.47
7.47,-4.47,2.09,-2.04,0.21,-0.1
12.5,5.99,6.06,-0.78,1.04,0.61
7.53,-2.12,1.2,-0.37,-0.48,0.79
5.61,-1.47,1.0,-0.4,0.67,0.75
10.79,-0.9,2.27,-0.45,0.54,0.55
10.29,-0.3,0.42,-0.35,-0.55,0.13
11.03,1.4,-1.4,0.09,-0.13,0.29
10.1,-2.17,2.98,0.86,0.44,0.37
6.73,-4.63,5.52,0.28,1.09,0.44
7.23,-0.42,3.79,0.14,0.22,-0.23
9.1,-1.66,4.78,1.84,0.77,-0.12
12.03,-3.08,3.14,1.7,0.48,-0.15
4.34,-0.74,-2.91,1.94,-0.11,-0.75
3.41,-7.93,3.84,-0.82,1.35,-0.2
8.37,7.31,3.92,-1.17,1.18,0.05
3.55,0.91,7.48,0.07,1.1,0.95
5.69,-4.1,3.67,0.85,2.3,1.2
9.75,-1.24,11.55,2.61,2.21,0.6
18.95,-2.04,14.94,0.09,-0.39,0.54
9.7,-5.89,18.52,-0.62,-2.43,1.54
12.85,-3.49,18.2,-0.79,-2.23,0.51
10.1,-1.97,17.97,0.11,-1.37,-0.12
6.5,-5.29,9.3,-0.28,1.77,-0.13
10.85,-2.98,11.11,-0.61,1.72,0.15
6.27,-4.09,8.2,-1.0,1.37,0.56
6.26,-1.59,7.24,-0.75,0.93,0.47
5.22,-3.08,6.53,-0.88,0.75,0.59
4.73,-1.93,5.33,-0.86,0.45,0.37
4.47,-1.88,4.58,-0.91,-0.19,-0.35
5.36,-2.92,4.18,-0.27,-0.78,-0.62
5.66,-5.07,5.88,-0.16,-0.85,-0.79
8.77,-3.11,7.43,-0.11,-0.67,-0.83
9.26,-4.32,7.53,-0.13,-0.71,-0.66
9.86,-4.1,7.97,-0.15,-0.58,-0.43
9.88,-4.18,7.85,0.04,-0.34,-0.22
9.69,-3.25,7.01,0.0,-0.18,-0.23
8.89,-2.42,5.54,0.09,0.02,-0.26
8.46,-2.12,5.01,-0.01,0.01,-0.28
8.78,-2.15,5.26,-0.11,-0.06,-0.25
9.21,-2.5,5.99,-0.18,-0.1,-0.19
9.39,-2.55,6.46,-0.1,-0.09,-0.11
9.27,-2.41,6.27,-0.13,-0.02,-0.05
8.88,-2.15,5.68,-0.09,0.03,-0.06
8.86,-2.09,5.5,-0.11,0.04,-0.08
8.98,-2.23,5.78,-0.15,0.01,-0.08
9.05,-2.41,6.14,-0.14,0.01,-0.07
9.02,-2.36,6.13,-0.13,0.05,-0.04
8.89,-2.21,6.08,-0.1,0.05,-0.02
8.88,-2.29,5.94,-0.07,0.01,-0.03
