Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.4,0.41,-0.47,-0.09,-0.0,0.01
10.41,0.39,-0.44,-0.09,0.0,0.0
10.45,0.44,-0.39,-0.08,0.01,0.01
10.49,0.38,-0.43,-0.07,0.0,0.01
10.41,0.31,-0.45,-0.1,0.01,0.0
10.54,0.58,-0.31,-0.09,0.02,-0.03
10.29,0.59,-0.6,-0.15,-0.09,0.02
9.95,0.54,-0.79,-0.38,0.01,0.03
10.46,0.72,-0.26,-0.51,0.16,0.06
10.13,1.24,-0.61,-0.29,0.13,0.06
10.52,1.08,-0.81,0.06,0.59,0.09
10.9,-0.61,-0.08,0.26,0.54,0.29
10.06,-0.72,-0.07,0.35,0.81,0.44
10.22,0.17,0.12,0.7,0.84,0.58
9.7,0.82,-0.83,1.11,0.93,0.36
10.95,0.57,-0.14,1.12,1.12,0.21
10.46,1.47,-0.76,1.18,0.71,0.14
9.23,1.36,0.35,1.04,0.53,0.08
10.16,0.2,1.55,0.85,0.69,0.23
10.67,3.51,-0.7,1.26,0.16,0.29
9.59,4.55,-0.48,2.47,-0.69,0.05
6.53,3.35,1.29,3.91,-0.79,-0.78
9.1,-4.02,2.47,3.1,-0.43,-0.43
7.91,-2.59,1.62,2.27,-0.94,-0.4
5.59,0.13,1.95,1.36,-0.68,-0.73
6.6,1.03,2.27,1.59,0.06,-0.83
6.13,-0.07,3.67,1.33,0.92,-1.31
1.78,-0.48,4.82,0.94,2.09,-1.61
24.31,3.97,49.34,-4.37,4.37,-0.68
52.32,41.56,-9.62,2.4,3.14,-4.37
4.42,-4.42,5.23,0.83,4.37,-2.77
7.81,4.83,2.25,0.85,2.93,-2.17
7.26,2.74,4.38,1.43,4.37,-2.02
-2.16,3.99,5.51,1.87,1.41,-1.21
-8.9,10.37,13.16,2.42,-1.85,0.32
6.48,7.1,8.99,1.26,1.86,-0.01
-5.04,10.94,1.4,1.0,-0.59,1.33
1.02,14.02,3.11,1.77,-0.1,0.68
-6.92,11.38,5.82,2.42,-0.88,-0.25
3.56,21.12,20.74,-0.66,0.14,-2.38
-1.74,4.92,-8.0,0.3,1.21,0.64
-1.92,11.49,4.94,0.03,-0.59,-0.27
-3.02,7.04,2.0,-0.71,-0.41,-0.03
0.16,8.4,2.66,-0.5,0.05,0.2
0.32,10.02,4.01,-0.9,-0.21,0.09
-0.33,9.77,5.11,-0.5,0.04,0.1
0.66,9.31,5.3,-0.27,0.04,0.16
0.49,8.94,4.72,0.13,-0.16,-0.04
0.02,9.28,4.28,0.4,0.06,-0.07
0.04,8.83,3.11,0.24,0.06,0.02
0.25,9.45,3.74,-0.16,-0.23,0.12
0.1,9.1,3.64,-0.14,-0.05,0.11
0.36,9.28,3.97,-0.17,0.04,0.11
0.45,8.94,4.04,-0.12,-0.04,0.18
1.1,10.02,4.59,0.17,0.11,-0.04
0.67,8.85,3.95,0.4,-0.15,-0.11
0.39,8.74,2.73,0.31,-0.06,-0.04
-0.24,9.98,2.93,0.04,0.09,-0.07
0.08,9.01,3.26,-0.28,0.13,-0.0
0.5,9.23,3.37,0.05,0.43,0.0
