Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.58,-0.55,1.29,-0.13,0.01,-0.01
10.54,-0.59,1.35,-0.13,0.01,-0.01
10.52,-0.6,1.29,-0.12,0.0,-0.01
10.52,-0.59,1.28,-0.12,0.0,-0.01
10.57,-0.61,1.36,-0.12,0.02,-0.01
10.56,-0.68,1.43,-0.13,0.02,-0.0
10.53,-0.72,1.42,-0.14,-0.01,0.0
10.47,-0.58,1.47,-0.13,0.02,-0.01
10.51,-0.6,1.46,-0.12,0.01,-0.01
10.41,-0.62,1.51,-0.11,0.02,-0.02
10.43,-0.44,1.43,-0.08,0.03,-0.05
11.36,-0.5,1.79,-0.1,0.0,-0.11
9.26,1.5,0.1,0.17,-0.36,-0.0
8.5,2.82,-1.64,0.59,-0.15,0.17
10.68,-0.26,0.7,0.82,0.32,-0.06
9.69,1.48,0.28,1.71,-0.3,-0.4
8.69,-0.55,-0.04,1.94,-0.01,-0.14
8.66,0.28,0.56,1.79,-0.0,-0.02
7.01,-0.56,0.57,1.72,-0.06,-0.07
9.38,-0.97,-0.28,1.04,0.07,-0.17
11.37,0.36,-1.33,0.82,-0.24,-0.07
11.55,-1.23,-1.22,0.57,-0.13,-0.03
12.28,-0.89,-2.28,0.83,-0.27,-0.09
9.56,-3.51,-1.53,0.54,-0.31,0.06
7.39,-0.82,-1.11,0.65,-0.09,-0.29
5.69,-0.51,0.31,1.32,0.55,-0.49
6.71,-1.82,4.93,1.08,1.28,-1.24
4.76,0.67,6.75,0.67,1.81,-1.56
1.57,6.11,13.99,0.6,3.67,-2.08
37.13,7.32,15.82,-2.41,4.37,-0.55
8.72,4.72,2.59,-1.05,3.31,-3.45
8.72,8.82,7.13,0.33,4.37,-2.01
7.55,3.74,7.44,0.29,3.79,-1.43
5.35,-0.4,8.89,0.34,3.57,-1.96
1.3,3.66,6.57,-0.93,2.43,-1.31
-4.18,7.23,5.57,-0.16,2.44,-0.93
-5.99,2.15,10.0,2.34,1.02,-0.4
-2.26,5.99,11.36,0.45,-0.6,0.96
-4.07,0.95,5.84,0.3,-0.01,0.19
-3.1,7.56,8.19,0.51,-0.61,0.7
-2.19,6.97,7.49,0.9,0.19,0.45
-3.72,8.05,9.4,1.45,-0.86,0.87
-2.11,6.47,5.15,1.99,-0.17,0.94
-14.87,17.46,5.8,0.93,0.82,-1.28
5.63,12.59,27.62,2.9,0.97,-0.49
-9.59,11.93,-4.89,1.74,2.08,1.68
-3.44,3.77,3.27,1.63,0.58,0.42
2.86,10.32,2.65,0.53,-0.54,0.21
-1.61,8.83,3.83,-0.61,-0.57,0.47
-0.04,7.93,1.86,-0.55,-0.05,0.22
0.62,9.02,3.55,-0.41,0.21,0.26
0.96,10.55,5.41,-0.58,0.27,0.14
1.2,9.52,5.51,-0.23,0.21,0.07
1.27,8.64,5.33,0.14,0.22,-0.03
0.94,8.66,4.75,0.16,-0.05,-0.18
0.71,8.9,3.75,-0.21,-0.41,-0.25
-0.65,8.5,3.38,-0.54,-0.4,-0.29
-0.75,9.4,4.72,-0.51,0.08,-0.2
-0.17,8.88,5.62,-0.48,0.08,-0.16
0.01,8.47,5.2,-0.37,-0.06,-0.11
