Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
10.54,-3.56,-2.69,0.65,-0.61,0.99
10.7,-4.89,-2.38,0.72,-0.57,1.09
9.26,-5.26,-1.2,0.65,-0.34,1.53
8.67,-4.33,-0.91,0.7,0.11,1.76
8.46,-3.32,-2.12,1.03,-0.14,1.84
8.45,-5.41,-1.86,1.35,-0.26,1.83
8.5,-6.34,-1.84,1.19,-0.8,1.71
6.85,-6.37,-0.27,0.99,-0.75,1.7
7.41,-6.21,-0.13,0.84,-0.43,1.61
7.1,-7.13,-0.27,0.48,-0.51,1.79
6.91,-6.75,-0.23,0.2,-0.46,1.81
6.9,-6.12,-0.22,0.22,-0.47,1.73
6.83,-5.69,-0.51,0.35,-0.61,1.58
6.91,-5.04,-0.87,0.59,-0.72,1.36
6.72,-4.79,0.37,0.77,-0.82,1.02
8.05,-4.33,0.69,1.12,-0.77,0.47
8.7,-7.45,1.36,1.2,-0.89,0.41
8.72,-3.45,-0.72,1.15,-1.83,0.46
6.89,-5.27,-0.65,2.22,-1.9,0.14
9.77,-2.84,-3.37,2.74,-2.04,-0.14
3.65,-8.65,3.41,1.32,0.21,-0.28
9.82,3.84,-9.18,2.07,-1.58,-1.3
4.54,-16.79,-4.71,0.14,-4.1,-0.9
10.73,4.26,8.43,-1.53,0.1,3.05
8.39,-11.44,3.78,-2.49,-1.85,1.21
8.47,-0.01,-6.67,-2.32,-1.46,4.14
11.92,-24.94,3.29,-1.3,-0.06,4.41
7.54,-4.52,-1.26,-1.55,-0.65,3.83
5.34,-10.37,-1.31,-1.69,-0.38,3.37
4.03,-38.2,-11.25,-1.96,-2.08,4.94
-4.31,2.32,-2.33,0.97,1.22,2.01
2.15,-7.73,-8.61,-0.75,-1.22,3.45
-3.15,-3.32,-7.5,-1.03,-0.67,1.87
0.78,-6.68,-8.32,-1.21,0.79,2.12
-1.3,-7.92,-6.75,-1.12,0.47,0.93
5.58,-7.64,-9.67,-0.72,0.08,1.93
2.68,-1.04,-7.9,-0.34,-0.29,1.15
5.6,-1.0,-8.49,0.05,-0.6,1.02
4.45,-2.56,-8.59,-0.19,-0.9,0.92
2.87,-1.81,-7.87,0.17,-0.74,0.87
1.49,-5.57,-9.17,-0.51,-0.92,1.54
2.9,1.14,-9.12,-0.12,-0.82,1.39
2.56,-0.77,-7.78,0.32,-1.41,0.93
2.88,-2.62,-9.59,0.38,-1.03,0.8
2.24,-0.66,-8.83,0.57,-1.3,0.83
2.6,-1.69,-9.07,0.78,-1.03,0.67
0.95,-1.32,-9.12,0.82,-0.92,0.86
1.54,-2.42,-9.25,0.78,-0.86,0.72
0.25,-3.37,-8.85,0.63,-1.09,0.7
-0.26,-1.61,-9.1,0.64,-0.78,0.79
0.99,-1.51,-9.39,0.82,-0.73,0.59
0.76,-2.54,-8.75,0.76,-0.79,0.52
1.22,24.42,16.55,-1.3,11.82,-25.29
1.22,24.42,16.55,-1.3,11.82,-25.29
0.79,-2.28,-9.19,0.8,-0.75,0.74
2.04,-2.33,-9.17,0.87,-0.66,0.69
0.75,-2.32,-8.57,0.92,-0.79,0.7
2.21,-2.46,-9.27,0.9,-0.61,0.94
1.68,-2.61,-8.66,0.92,-0.68,0.95
1.64,-2.67,-8.9,0.95,-0.6,1.0
