Accelerometer: x-axis (g),Accelerometer: y-axis (g),Accelerometer: z-axis (g),Gyroscope: x-axis (rad/s),Gyroscope: y-axis (rad/s),Gyroscope: z-axis (rad/s)
9.03,-5.19,-0.68,-0.26,0.19,0.06
8.92,-5.26,-0.64,-0.31,0.24,0.09
8.88,-5.4,-0.44,-0.35,0.32,0.14
8.8,-5.25,-0.34,-0.35,0.49,0.16
8.82,-5.41,0.02,-0.34,0.56,0.16
8.49,-5.38,0.33,-0.4,0.7,0.17
8.43,-5.4,0.25,-0.41,0.9,0.17
9.32,-5.52,-0.05,-0.4,0.82,0.12
8.6,-5.22,-0.58,-0.24,0.53,0.07
7.87,-4.35,-0.08,0.17,0.2,-0.13
5.75,-4.89,0.8,0.29,0.1,-0.24
4.73,-5.22,1.13,0.08,0.37,-0.38
4.91,-4.01,1.78,-0.2,0.79,-0.66
5.34,-3.69,1.56,-0.1,1.08,-0.61
6.05,-3.71,0.54,0.24,0.85,-0.91
2.75,-3.45,-0.85,0.03,0.03,-1.08
3.37,-2.5,-1.29,0.49,1.38,-1.26
11.0,-5.13,0.93,0.42,1.03,-0.64
9.86,-7.86,1.66,0.29,0.1,-1.6
13.64,-4.73,7.11,-0.91,2.49,-2.06
15.75,-3.96,5.63,-0.24,0.65,-1.6
14.53,-3.47,3.87,1.33,-1.72,-1.69
11.06,-6.35,6.03,1.75,-0.62,-3.16
10.7,2.75,1.3,3.03,0.31,-2.52
5.32,2.77,4.84,2.87,0.57,-3.57
2.51,5.68,4.57,0.69,0.66,-3.09
4.97,29.35,2.94,-0.4,3.79,-2.63
-3.02,3.24,-13.71,3.53,0.72,-3.86
2.95,11.53,1.56,1.12,-1.47,-2.12
6.74,35.26,1.69,4.17,-4.37,-1.83
-3.6,-3.85,-2.03,2.18,4.37,-2.78
1.13,11.96,-6.06,0.92,-2.69,-1.3
-2.02,6.7,-2.55,2.13,-0.32,-2.17
-0.31,9.01,-4.56,1.22,-0.68,-0.77
-3.59,7.83,-6.91,1.12,-0.59,-1.09
-1.66,5.77,-2.73,0.76,-0.58,-0.72
-2.96,6.37,-5.42,0.41,0.05,-0.59
-2.28,5.68,-5.64,0.1,0.26,-0.34
-2.46,6.17,-4.79,-0.55,0.45,0.23
-3.39,6.96,-5.56,-0.64,0.69,0.55
-1.92,6.85,-4.47,-0.57,0.86,0.75
-0.82,7.15,-4.68,-0.69,0.52,0.87
-0.62,7.64,-4.82,-0.75,0.11,1.12
0.27,8.23,-4.56,-0.89,0.16,1.21
1.06,7.79,-3.62,-0.95,0.14,1.16
1.62,9.04,-3.2,-1.07,0.1,1.14
2.15,7.89,-2.29,-0.97,0.15,1.06
2.83,9.8,-2.82,-0.86,-0.04,1.01
3.69,9.08,-1.67,-0.97,0.45,0.92
4.27,9.04,-1.21,-1.08,0.28,0.83
4.16,8.84,-1.09,-0.9,0.3,0.56
4.38,9.28,-0.46,-0.63,0.06,0.35
4.04,9.22,-0.82,-0.64,0.12,0.3
4.12,9.2,-0.49,-0.6,0.45,0.36
4.24,9.0,-0.09,-0.52,0.63,0.39
4.65,8.81,0.37,-0.56,0.68,0.31
4.71,8.38,0.69,-0.42,0.51,0.21
5.02,8.34,1.3,-0.47,0.59,0.13
5.29,8.61,1.02,-0.56,0.4,0.11
5.51,8.43,1.47,-0.65,0.23,0.21
